roc_auc,pr_auc,balanced_accuracy,sensitivity,specificity,f1,brier,n_test,positive_rate,threshold,fold,model,target,scheme,best_params,n_train,n_features_kept,held_out_lineage
0.38541666666666663,0.6922026178234573,0.4375,0.625,0.25,0.6666666666666666,0.3298301112634511,32,0.75,0.458,0,elastic_net,cin,lolo,"{'clf__C': 0.05, 'clf__l1_ratio': 0.3}",1546,1936,Biliary Tract
0.5911111111111111,0.8365346381364839,0.5711111111111111,0.92,0.2222222222222222,0.8363636363636363,0.199566292474593,34,0.7352941176470589,0.465,1,elastic_net,cin,lolo,"{'clf__C': 0.05, 'clf__l1_ratio': 0.7}",1544,1913,Bladder/Urinary Tract
0.6001400560224089,0.4385039708724811,0.5665266106442577,0.6428571428571429,0.49019607843137253,0.5,0.24137244562278248,79,0.35443037974683544,0.458,2,elastic_net,cin,lolo,"{'clf__C': 0.05, 'clf__l1_ratio': 0.7}",1499,1917,Bone
0.4991181657848325,0.5795106641892104,0.5582010582010581,0.8571428571428571,0.25925925925925924,0.7346938775510204,0.273472958719382,69,0.6086956521739131,0.452,3,elastic_net,cin,lolo,"{'clf__C': 0.05, 'clf__l1_ratio': 0.7}",1509,1431,Bowel
0.7130434782608696,0.8717229305486306,0.6804347826086956,0.7608695652173914,0.6,0.8235294117647058,0.23523831780323246,56,0.8214285714285714,0.456,4,elastic_net,cin,lolo,"{'clf__C': 0.05, 'clf__l1_ratio': 0.7}",1522,1889,Breast
0.7407407407407407,0.756782893292478,0.6664408310749774,0.7962962962962963,0.5365853658536586,0.7413793103448276,0.20595541507361176,95,0.5684210526315789,0.435,5,elastic_net,cin,lolo,"{'clf__C': 0.05, 'clf__l1_ratio': 0.7}",1483,1894,CNS/Brain
0.5142857142857142,0.5551484754741058,0.4285714285714286,0.35714285714285715,0.5,0.4166666666666667,0.29977119893378895,24,0.5833333333333334,0.454,6,elastic_net,cin,lolo,"{'clf__C': 0.05, 'clf__l1_ratio': 0.7}",1554,1910,Cervix
0.528624192059095,0.7409357863414806,0.6140350877192982,0.9122807017543859,0.3157894736842105,0.8524590163934426,0.24346854081269972,76,0.75,0.398,7,elastic_net,cin,lolo,"{'clf__C': 0.05, 'clf__l1_ratio': 0.7}",1502,1801,Esophagus/Stomach
0.36607142857142855,0.32880258018125663,0.42857142857142855,0.0,0.8571428571428571,0.0,0.257527597985731,22,0.36363636363636365,0.459,8,elastic_net,cin,lolo,"{'clf__C': 0.05, 'clf__l1_ratio': 0.7}",1556,1950,Eye
0.9999999999999999,1.0,0.95,1.0,0.9,0.4,0.12687788886889442,31,0.03225806451612903,0.436,9,elastic_net,cin,lolo,"{'clf__C': 0.05, 'clf__l1_ratio': 0.7}",1547,1956,Fibroblast
0.6167272727272728,0.73895375697634,0.5654545454545454,0.8909090909090909,0.24,0.7967479674796748,0.22740365819476063,80,0.6875,0.433,10,elastic_net,cin,lolo,"{'clf__C': 0.05, 'clf__l1_ratio': 0.7}",1498,1867,Head and Neck
0.6273344651952462,0.5320076234594889,0.565365025466893,0.42105263157894735,0.7096774193548387,0.4444444444444444,0.2356568838925189,50,0.38,0.421,11,elastic_net,cin,lolo,"{'clf__C': 0.05, 'clf__l1_ratio': 0.7}",1528,1906,Kidney
0.4699999999999999,0.7540904140989954,0.55,0.9,0.2,0.8571428571428571,0.21792092070151878,25,0.8,0.503,12,elastic_net,cin,lolo,"{'clf__C': 0.05, 'clf__l1_ratio': 0.7}",1553,1926,Liver
0.4362847222222222,0.7795120396021091,0.5607638888888888,0.84375,0.2777777777777778,0.8411214953271028,0.22053462129589338,196,0.8163265306122449,0.477,13,elastic_net,cin,lolo,"{'clf__C': 0.05, 'clf__l1_ratio': 0.7}",1382,1438,Lung
0.6440508021390374,0.17858260995326175,0.5423351158645275,0.5454545454545454,0.5392156862745098,0.1875,0.22446377292534836,226,0.09734513274336283,0.452,14,elastic_net,cin,lolo,"{'clf__C': 0.05, 'clf__l1_ratio': 0.7}",1352,1457,Lymphoid
0.5128968253968254,0.12213982675168955,0.5357142857142857,0.5,0.5714285714285714,0.20512820512820512,0.2238979356959996,71,0.11267605633802817,0.452,15,elastic_net,cin,lolo,"{'clf__C': 0.05, 'clf__l1_ratio': 0.7}",1507,1888,Myeloid
0.6755793226381462,0.7447278934855643,0.6417112299465241,0.6363636363636364,0.6470588235294118,0.7,0.23689957677454238,50,0.66,0.486,16,elastic_net,cin,lolo,"{'clf__C': 0.05, 'clf__l1_ratio': 0.7}",1528,1839,Ovary/Fallopian Tube
0.3759920634920635,0.6163462383165197,0.4027777777777778,0.75,0.05555555555555555,0.6363636363636364,0.27858490731740815,46,0.6086956521739131,0.476,17,elastic_net,cin,lolo,"{'clf__C': 0.05, 'clf__l1_ratio': 0.7}",1532,1923,Pancreas
0.5038461538461538,0.383595557561194,0.514102564102564,0.46153846153846156,0.5666666666666667,0.375,0.25164392286507997,43,0.3023255813953488,0.447,18,elastic_net,cin,lolo,"{'clf__C': 0.05, 'clf__l1_ratio': 0.7}",1535,1924,Peripheral Nervous System
0.5595238095238095,0.6011355306788342,0.5238095238095238,0.3333333333333333,0.7142857142857143,0.42857142857142855,0.2845393003043524,32,0.5625,0.462,19,elastic_net,cin,lolo,"{'clf__C': 0.05, 'clf__l1_ratio': 0.7}",1546,1944,Pleura
0.6237402015677491,0.7071773115614252,0.5904255319148937,0.5,0.6808510638297872,0.5891472868217055,0.256323308868743,123,0.6178861788617886,0.491,20,elastic_net,cin,lolo,"{'clf__C': 0.05, 'clf__l1_ratio': 0.7}",1455,1686,Skin
0.500494071146245,0.3730380553022473,0.5800395256916996,0.4782608695652174,0.6818181818181818,0.4583333333333333,0.25372968053757905,67,0.34328358208955223,0.438,21,elastic_net,cin,lolo,"{'clf__C': 0.05, 'clf__l1_ratio': 0.7}",1511,1901,Soft Tissue
0.5795454545454546,0.6830569484358688,0.5340909090909092,0.8181818181818182,0.25,0.6206896551724138,0.26669409271529315,23,0.4782608695652174,0.511,22,elastic_net,cin,lolo,"{'clf__C': 0.05, 'clf__l1_ratio': 0.7}",1555,1938,Thyroid
0.7485380116959065,0.5693260443260444,0.7865497076023391,0.8888888888888888,0.6842105263157895,0.6956521739130435,0.204622426428526,28,0.32142857142857145,0.45,23,elastic_net,cin,lolo,"{'clf__C': 0.05, 'clf__l1_ratio': 0.7}",1550,1492,Uterus
