target,model,roc_auc,pr_auc,balanced_accuracy,sensitivity,specificity,f1,brier
cin,random_forest,0.734,0.706,0.678,0.696,0.66,0.684,0.216
cin,xgboost,0.729,0.694,0.668,0.77,0.567,0.699,0.211
cin,elastic_net,0.681,0.641,0.639,0.74,0.537,0.671,0.23
cin,logistic,0.672,0.64,0.641,0.672,0.611,0.652,0.24
cin,multitask_ann,0.671,0.648,0.619,0.713,0.524,0.649,0.25
loh,random_forest,0.73,0.696,0.676,0.746,0.606,0.698,0.217
loh,xgboost,0.728,0.696,0.673,0.746,0.599,0.694,0.21
loh,elastic_net,0.711,0.673,0.666,0.733,0.599,0.686,0.218
loh,logistic,0.683,0.66,0.639,0.615,0.663,0.63,0.234
loh,multitask_ann,0.667,0.653,0.622,0.552,0.693,0.587,0.25
wgd,random_forest,0.765,0.841,0.715,0.752,0.677,0.781,0.204
wgd,xgboost,0.757,0.837,0.713,0.727,0.698,0.77,0.183
wgd,elastic_net,0.749,0.822,0.703,0.721,0.684,0.762,0.201
wgd,logistic,0.723,0.8,0.671,0.651,0.691,0.717,0.209
wgd,multitask_ann,0.704,0.79,0.65,0.69,0.61,0.726,0.217
