feature,wgd_freq,wgd_rank,cin_freq,cin_rank,loh_freq,loh_rank,mean_freq,n_phenotypes
TP53 (7157)_damaging,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3
ID3 (3399)_damaging,1.0,3.6,1.0,2.4,1.0,3.4,1.0,3
BRAF (673)_hotspot,1.0,2.2,1.0,5.6,1.0,16.8,1.0,3
CREBBP (1387)_damaging,1.0,7.8,0.8,34.8,1.0,18.2,0.9333333333333332,3
RB1 (5925)_damaging,0.4,153.2,1.0,17.8,1.0,15.8,0.7999999999999999,2
TERT (7015)_hotspot,1.0,4.0,1.0,8.0,0.0,295.0,0.6666666666666666,2
NF2 (4771)_damaging,1.0,19.0,0.0,236.2,1.0,2.2,0.6666666666666666,2
PITX1 (5307)_damaging,0.2,78.6,0.8,26.0,1.0,10.6,0.6666666666666666,2
PITRM1 (10531)_damaging,0.8,16.25,0.4,53.666666666666664,0.6,17.0,0.6000000000000001,2
TP53 (7157)_hotspot,1.0,6.6,0.8,36.4,0.0,129.4,0.6,2
NRAS (4893)_hotspot,0.4,101.0,0.4,90.0,0.8,35.4,0.5333333333333333,1
CCND3 (896)_damaging,1.0,16.8,0.2,180.8,0.4,109.6,0.5333333333333333,1
CMYA5 (202333)_damaging,0.4,124.8,0.6,46.8,0.6,56.2,0.5333333333333333,2
RPL5 (6125)_damaging,0.0,290.0,0.8,32.25,0.8,15.25,0.5333333333333333,2
KALRN (8997)_damaging,0.6,68.2,0.6,86.4,0.2,95.8,0.4666666666666666,2
MUC19 (283463)_damaging,0.0,291.2,0.4,154.2,1.0,23.6,0.4666666666666666,1
ABCB5 (340273)_damaging,0.0,117.2,0.4,70.0,1.0,28.4,0.4666666666666666,1
KRAS (3845)_hotspot,0.4,48.0,0.2,131.2,0.6,33.0,0.4000000000000001,1
BCOR (54880)_damaging,0.8,28.8,0.4,143.4,0.0,169.2,0.4000000000000001,1
PIK3CA (5290)_hotspot,0.4,92.0,0.8,15.8,0.0,295.0,0.4000000000000001,1
