feature,wgd_freq,wgd_rank,cin_freq,cin_rank,loh_freq,loh_rank,mean_freq,n_phenotypes
TP53 (7157)_damaging,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3
TTN (7273)_damaging,1.0,8.6,1.0,21.4,1.0,19.0,1.0,3
TP53 (7157)_hotspot,1.0,2.0,1.0,2.0,1.0,2.0,1.0,3
CREBBP (1387)_damaging,1.0,10.0,1.0,15.0,1.0,16.6,1.0,3
KRAS (3845)_hotspot,1.0,9.2,1.0,14.4,1.0,6.0,1.0,3
RB1 (5925)_damaging,1.0,11.8,1.0,4.4,1.0,3.8,1.0,3
ID3 (3399)_damaging,1.0,6.0,1.0,5.0,1.0,5.2,1.0,3
BRAF (673)_hotspot,1.0,3.6,1.0,5.2,1.0,21.2,1.0,3
APC (324)_damaging,1.0,12.6,0.8,36.4,1.0,23.6,0.9333333333333332,3
PITX1 (5307)_damaging,0.8,31.4,1.0,18.0,1.0,10.0,0.9333333333333332,3
SMAD4 (4089)_damaging,0.8,30.6,1.0,34.8,1.0,11.2,0.9333333333333332,3
RPL22 (6146)_damaging,1.0,30.0,0.6,54.8,1.0,18.0,0.8666666666666667,3
TERT (7015)_hotspot,1.0,3.4,1.0,3.8,0.6,54.0,0.8666666666666667,3
BCOR (54880)_damaging,1.0,17.2,0.8,33.8,0.8,30.2,0.8666666666666667,3
NRAS (4893)_hotspot,0.6,45.2,1.0,22.8,1.0,13.0,0.8666666666666667,3
STK11 (6794)_damaging,0.6,94.4,1.0,23.8,1.0,24.2,0.8666666666666667,3
PDS5B (23047)_damaging,0.8,28.4,0.8,25.2,1.0,23.2,0.8666666666666667,3
RB1 (5925)_hotspot,0.6,36.8,1.0,19.2,0.8,46.0,0.8000000000000002,3
KMT2D (8085)_damaging,1.0,18.4,0.6,41.0,0.6,71.2,0.7333333333333334,3
MUC19 (283463)_damaging,0.2,53.2,1.0,20.4,1.0,16.0,0.7333333333333334,2
