feature,n_folds_selected,mean_importance,mean_rank,rank_std,selection_freq,kind,gene
TP53 (7157)_damaging,5,0.5170297886417119,1.0,0.0,1.0,damaging,TP53
NF2 (4771)_damaging,5,0.1913597224749737,2.2,0.44721359549995787,1.0,damaging,NF2
ID3 (3399)_damaging,5,0.1670433387129136,3.4,0.5477225575051662,1.0,damaging,ID3
PITX1 (5307)_damaging,5,0.1092727537298011,10.6,9.235799911215054,1.0,damaging,PITX1
RB1 (5925)_damaging,5,0.10404402924053865,15.8,11.43241006962224,1.0,damaging,RB1
BRAF (673)_hotspot,5,0.10361982816367435,16.8,16.946976131451887,1.0,hotspot,BRAF
CREBBP (1387)_damaging,5,0.0905563006942436,18.2,7.854934754662192,1.0,damaging,CREBBP
MUC19 (283463)_damaging,5,0.09167694609548432,23.6,20.501219475923865,1.0,damaging,MUC19
ABCB5 (340273)_damaging,5,0.07662113890868331,28.4,9.44986772394196,1.0,damaging,ABCB5
RPL5 (6125)_damaging,4,0.0931284749323039,15.25,6.238322424070967,0.8,damaging,RPL5
USP9X (8239)_damaging,4,0.08008919794177796,33.0,28.186876378910807,0.8,damaging,USP9X
CACNA1A (773)_damaging,4,0.07354174537880254,35.4,20.513410247932935,0.8,damaging,CACNA1A
NRAS (4893)_hotspot,4,0.07718289763824211,35.4,32.78414250823102,0.8,hotspot,NRAS
ADGRL4 (64123)_damaging,4,0.06294879705277918,79.4,105.19410629878463,0.8,damaging,ADGRL4
EPHA6 (285220)_damaging,3,0.0986259026624185,10.666666666666666,4.041451884327381,0.6,damaging,EPHA6
PITRM1 (10531)_damaging,3,0.09427670367455403,17.0,13.0,0.6,damaging,PITRM1
KRAS (3845)_hotspot,3,0.08773379508851806,33.0,31.328900395641085,0.6,hotspot,KRAS
MTMR3 (8897)_damaging,3,0.06862529609000621,36.666666666666664,12.342339054382412,0.6,damaging,MTMR3
MACF1 (23499)_damaging,3,0.07271911975170918,37.4,28.342547521350298,0.6,damaging,MACF1
TET2 (54790)_damaging,3,0.0705727922927463,39.6,21.77842969545784,0.6,damaging,TET2
PDS5B (23047)_damaging,3,0.06967621948474824,42.2,21.902054698132776,0.6,damaging,PDS5B
PLXNB2 (23654)_damaging,3,0.07968731372448493,47.8,47.134912750529196,0.6,damaging,PLXNB2
GPR155 (151556)_damaging,3,0.07141127621924528,48.5,48.390770469859916,0.6,damaging,GPR155
CMYA5 (202333)_damaging,3,0.060760671039531075,56.2,36.16904754068042,0.6,damaging,CMYA5
HELZ2 (85441)_damaging,3,0.058159170487732434,72.2,79.41473414927485,0.6,damaging,HELZ2
CTCF (10664)_damaging,3,0.054100746554677635,79.6,77.88645581871087,0.6,damaging,CTCF
SPATA31H1 (84226)_damaging,3,0.05582411395831558,93.2,103.74343352713944,0.6,damaging,SPATA31H1
NCKAP5L (57701)_damaging,3,0.04653978832212165,111.2,113.31019371618777,0.6,damaging,NCKAP5L
KIF5A (3798)_damaging,2,0.11136699752313685,6.5,2.1213203435596424,0.4,damaging,KIF5A
PAPPA (5069)_damaging,2,0.08004660012975565,23.0,19.79898987322333,0.4,damaging,PAPPA
EEA1 (8411)_damaging,2,0.07697452919718059,23.5,6.363961030678928,0.4,damaging,EEA1
CCND3 (896)_hotspot,2,0.08114420762047256,28.5,16.263455967290593,0.4,hotspot,CCND3
ELF3 (1999)_damaging,2,0.07111636741844535,35.5,7.7781745930520225,0.4,damaging,ELF3
NRG3 (10718)_damaging,2,0.06832649530816343,38.666666666666664,21.501937897160182,0.4,damaging,NRG3
ARID1A (8289)_damaging,2,0.07093911213421836,44.8,32.553033652794944,0.4,damaging,ARID1A
LTBP1 (4052)_damaging,2,0.06040213425136645,49.0,6.377042156569663,0.4,damaging,LTBP1
CSF2RB (1439)_damaging,2,0.06445726019807138,51.2,26.90167281044062,0.4,damaging,CSF2RB
ZAN (7455)_damaging,2,0.06326304108532155,52.5,39.26406329796582,0.4,damaging,ZAN
SMAD4 (4089)_damaging,2,0.07222246613311448,57.6,42.88706098580317,0.4,damaging,SMAD4
NLRP7 (199713)_damaging,2,0.07607850177307611,59.666666666666664,86.04843597261565,0.4,damaging,NLRP7
CD36 (948)_damaging,2,0.060352459854527994,61.8,39.644671773139954,0.4,damaging,CD36
PTPRG (5793)_damaging,2,0.0543417578707045,66.5,35.98610843089317,0.4,damaging,PTPRG
STK11 (6794)_damaging,2,0.0497292437515898,70.4,32.06711711395335,0.4,damaging,STK11
SMC3 (9126)_damaging,2,0.05169407823349118,77.6,55.91332578196364,0.4,damaging,SMC3
ZMYM3 (9203)_damaging,2,0.05386752948849975,78.2,56.046409340831104,0.4,damaging,ZMYM3
PIK3R1 (5295)_damaging,2,0.05530965142702976,79.2,61.682250283205455,0.4,damaging,PIK3R1
PTPRB (5787)_damaging,2,0.055615173995678634,86.8,84.88050423978406,0.4,damaging,PTPRB
PHRF1 (57661)_damaging,2,0.052285760773128166,88.33333333333333,91.67515112250065,0.4,damaging,PHRF1
PTPRC (5788)_damaging,2,0.0502520613358269,91.4,105.34609627318896,0.4,damaging,PTPRC
CACNA1S (779)_damaging,2,0.04457066653139302,91.6,53.29915571563963,0.4,damaging,CACNA1S
CCND3 (896)_damaging,2,0.04459159487235836,109.6,82.20888029890688,0.4,damaging,CCND3
DNAH2 (146754)_damaging,2,0.05390243429747534,117.2,113.32563699357706,0.4,damaging,DNAH2
CUBN (8029)_damaging,2,0.043518502320622245,130.4,126.61674454826264,0.4,damaging,CUBN
DGKH (160851)_damaging,2,0.03922636764648356,139.8,131.10758940656333,0.4,damaging,DGKH
PTPRS (5802)_damaging,2,0.04009388350622526,140.4,121.58865078616506,0.4,damaging,PTPRS
RHOA (387)_hotspot,2,0.0394763106596451,143.4,118.05634248103742,0.4,hotspot,RHOA
MYH9 (4627)_damaging,2,0.036441449398472534,158.4,135.2545747839976,0.4,damaging,MYH9
CTNNA1 (1495)_damaging,2,0.032901220312085984,165.0,137.27344972717776,0.4,damaging,CTNNA1
CDH22 (64405)_damaging,1,0.1015806938400833,8.0,,0.2,damaging,CDH22
DGKZ (8525)_damaging,1,0.0634707358989506,34.0,,0.2,damaging,DGKZ
CDK12 (51755)_damaging,1,0.0612700096911085,43.0,,0.2,damaging,CDK12
TEX2 (55852)_damaging,1,0.0655015354948679,43.0,,0.2,damaging,TEX2
ADAM18 (8749)_damaging,1,0.0654558075681171,44.0,,0.2,damaging,ADAM18
IQUB (154865)_damaging,1,0.06499539363641724,46.666666666666664,32.00520790954706,0.2,damaging,IQUB
GABBR1 (2550)_damaging,1,0.06527736176564083,54.0,40.779897008207364,0.2,damaging,GABBR1
LAMB2 (3913)_damaging,1,0.0559329497641177,58.666666666666664,28.290163190291665,0.2,damaging,LAMB2
SCAF4 (57466)_damaging,1,0.05384621144459566,69.8,29.037906260610455,0.2,damaging,SCAF4
AOX1 (316)_damaging,1,0.051607226347220606,75.5,50.204581464244875,0.2,damaging,AOX1
CEP170B (283638)_damaging,1,0.04949386804985145,82.5,45.96194077712559,0.2,damaging,CEP170B
LOXHD1 (125336)_damaging,1,0.0483624490280542,83.75,56.55307241874662,0.2,damaging,LOXHD1
RIMBP2 (23504)_damaging,1,0.044746992745114594,88.75,36.53651141894457,0.2,damaging,RIMBP2
MKI67 (4288)_damaging,1,0.04600739971286558,89.8,54.99727265965104,0.2,damaging,MKI67
PCDH15 (65217)_damaging,1,0.04141407472168922,93.4,41.66893327168335,0.2,damaging,PCDH15
KALRN (8997)_damaging,1,0.04524868907589152,95.8,80.55246737375585,0.2,damaging,KALRN
COL27A1 (85301)_damaging,1,0.04053465886974296,101.0,60.36555309114628,0.2,damaging,COL27A1
CAPN12 (147968)_damaging,1,0.03968559660158815,104.75,47.69608649215014,0.2,damaging,CAPN12
KIF5C (3800)_damaging,1,0.04837205459653473,106.33333333333333,109.80133575386655,0.2,damaging,KIF5C
RASA1 (5921)_damaging,1,0.04168540006896272,108.8,67.29933134883288,0.2,damaging,RASA1
SYNE2 (23224)_damaging,1,0.040635761740871516,110.0,68.01102851743973,0.2,damaging,SYNE2
IGFN1 (91156)_damaging,1,0.03940640085385238,111.2,96.97783251857096,0.2,damaging,IGFN1
PCDH17 (27253)_damaging,1,0.04000172477308197,111.66666666666667,69.2916541391049,0.2,damaging,PCDH17
MAP3K12 (7786)_damaging,1,0.04312452822764098,113.0,63.43500610861482,0.2,damaging,MAP3K12
C2orf81 (388963)_hotspot,1,0.04487269195867656,113.2,92.17212159866996,0.2,hotspot,C2orf81
IRF8 (3394)_damaging,1,0.041259909324051595,114.33333333333333,77.36493607140984,0.2,damaging,IRF8
PHF20L1 (51105)_damaging,1,0.05397358877492532,120.0,91.81230854302706,0.2,damaging,PHF20L1
KEAP1 (9817)_damaging,1,0.03902093184315114,122.2,97.37402117608167,0.2,damaging,KEAP1
SIN3A (25942)_damaging,1,0.0405054305176629,122.4,105.2226211420339,0.2,damaging,SIN3A
SMARCA4 (6597)_damaging,1,0.039581745762373124,124.2,99.50477375483047,0.2,damaging,SMARCA4
AJUBA (84962)_damaging,1,0.0356021368026607,125.8,85.788693893776,0.2,damaging,AJUBA
ELP1 (8518)_damaging,1,0.038334857035096176,128.0,105.5683033238039,0.2,damaging,ELP1
PTPN23 (25930)_damaging,1,0.0352158481883045,130.2,93.48636264183135,0.2,damaging,PTPN23
CACNA1E (777)_damaging,1,0.03376775674339842,130.4,92.12382970762776,0.2,damaging,CACNA1E
COL22A1 (169044)_damaging,1,0.035130595408740764,133.4,99.9014514409075,0.2,damaging,COL22A1
DIS3 (22894)_damaging,1,0.0372600555651796,136.25,106.11118382778196,0.2,damaging,DIS3
KANSL1 (284058)_damaging,1,0.0359744432815257,136.5,118.51722800223322,0.2,damaging,KANSL1
CCNB3 (85417)_damaging,1,0.03469107402141216,136.8,74.29804842659058,0.2,damaging,CCNB3
UBR4 (23352)_damaging,1,0.036048939242041375,136.8,105.20076045352525,0.2,damaging,UBR4
FANCG (2189)_damaging,1,0.040250724841717864,138.8,108.89536261935125,0.2,damaging,FANCG
TLE4 (7091)_damaging,1,0.0358097385026385,140.33333333333334,148.72906015077663,0.2,damaging,TLE4
AXDND1 (126859)_damaging,1,0.03512205349791408,144.2,108.7920033826016,0.2,damaging,AXDND1
PKD1 (5310)_damaging,1,0.03538939063673226,144.2,115.88658248477259,0.2,damaging,PKD1
PCDH7 (5099)_damaging,1,0.02919827368191738,144.6,65.82780567510966,0.2,damaging,PCDH7
AP3D1 (8943)_damaging,1,0.0373675244357876,146.75,113.57633262847209,0.2,damaging,AP3D1
SIPA1L2 (57568)_damaging,1,0.03131450938047993,147.25,110.53317752301041,0.2,damaging,SIPA1L2
DMXL1 (1657)_damaging,1,0.03431178559251598,148.2,116.69490134534585,0.2,damaging,DMXL1
LAMA5 (3911)_damaging,1,0.0330466979517296,150.2,108.80579028709823,0.2,damaging,LAMA5
MYO7A (4647)_damaging,1,0.029534372111621122,151.2,103.53356943523198,0.2,damaging,MYO7A
DLG2 (1740)_damaging,1,0.03530396895682954,152.2,127.31142918057279,0.2,damaging,DLG2
CADPS2 (93664)_damaging,1,0.03223002630134515,157.0,111.57060544785082,0.2,damaging,CADPS2
ERICH3 (127254)_damaging,1,0.03547917947034348,157.4,136.36275151228065,0.2,damaging,ERICH3
MPDZ (8777)_damaging,1,0.028051389661040427,159.25,112.42590152332929,0.2,damaging,MPDZ
KIF27 (55582)_damaging,1,0.032712683813378676,165.25,137.04591687946538,0.2,damaging,KIF27
MYH7 (4625)_damaging,1,0.027014096472068375,173.0,108.45275469069469,0.2,damaging,MYH7
ROBO2 (6092)_damaging,1,0.029552519238871616,176.8,126.11978433219747,0.2,damaging,ROBO2
FRY (10129)_damaging,1,0.025638121895040177,178.0,108.14111151638863,0.2,damaging,FRY
TRPM6 (140803)_damaging,1,0.025031098627574876,182.4,119.62357627156948,0.2,damaging,TRPM6
GTF3C1 (2975)_damaging,1,0.022540922168505402,184.6,117.64692941169355,0.2,damaging,GTF3C1
FES (2242)_damaging,1,0.025763230958252382,187.2,122.84828041124548,0.2,damaging,FES
CPAMD8 (27151)_damaging,1,0.0200411450872387,190.4,91.13067540625384,0.2,damaging,CPAMD8
MUC17 (140453)_damaging,1,0.0238692184749572,197.6,100.78839218878332,0.2,damaging,MUC17
RAD50 (10111)_damaging,1,0.02222887672010854,197.6,111.61227531055891,0.2,damaging,RAD50
MSH3 (4437)_damaging,1,0.0226877006841389,197.8,127.8072767881391,0.2,damaging,MSH3
CDC42BPA (8476)_damaging,1,0.02021917076520466,199.0,96.86846752168633,0.2,damaging,CDC42BPA
ZBTB21 (49854)_damaging,1,0.0251659890183535,202.33333333333334,150.32409432068212,0.2,damaging,ZBTB21
USP13 (8975)_damaging,1,0.020385288794022537,209.4,118.19179328532078,0.2,damaging,USP13
MMUT (4594)_damaging,1,0.0178548635240335,209.75,114.40097610306188,0.2,damaging,MMUT
MYO16 (23026)_damaging,1,0.02058430363713512,212.2,117.1439285665288,0.2,damaging,MYO16
FN1 (2335)_damaging,1,0.016302751987475543,213.0,101.60462587894312,0.2,damaging,FN1
TPR (7175)_damaging,1,0.0155604956458219,224.8,101.20622510498058,0.2,damaging,TPR
ABCA13 (154664)_damaging,1,0.01544001069783806,227.0,109.83624174196785,0.2,damaging,ABCA13
RBM10 (8241)_damaging,1,0.017158789646849838,228.4,120.87100562169573,0.2,damaging,RBM10
HSPG2 (3339)_damaging,1,0.0133852787089183,231.2,106.01037685057062,0.2,damaging,HSPG2
PCNX3 (399909)_damaging,1,0.01589308400265976,233.6,120.18444158875141,0.2,damaging,PCNX3
KIF7 (374654)_damaging,1,0.01875435834856134,236.6,121.41169630641028,0.2,damaging,KIF7
HERC1 (8925)_damaging,1,0.02126411949417732,238.0,127.29493312775651,0.2,damaging,HERC1
KDR (3791)_damaging,1,0.012548006404340681,241.8,111.95177533205984,0.2,damaging,KDR
TMEM245 (23731)_damaging,1,0.01273511882297854,242.8,113.53501662482813,0.2,damaging,TMEM245
EPB41L3 (23136)_damaging,1,0.011716482203666941,243.0,109.28860873851401,0.2,damaging,EPB41L3
LRP4 (4038)_damaging,1,0.01536958945192976,246.0,120.22478945708326,0.2,damaging,LRP4
LARP1 (23367)_damaging,1,0.01281276746153664,248.8,113.99649117407078,0.2,damaging,LARP1
PTPRZ1 (5803)_damaging,1,0.012530305501821059,249.4,112.66232733260927,0.2,damaging,PTPRZ1
