feature,n_folds_selected,mean_importance,mean_rank,rank_std,selection_freq,kind,gene
TP53 (7157)_damaging,5,0.14058750305062717,1.0,0.0,1.0,damaging,TP53
TP53 (7157)_hotspot,5,0.07694056703545467,2.0,0.0,1.0,hotspot,TP53
TERT (7015)_hotspot,5,0.01949584345191504,3.8,0.8366600265340756,1.0,hotspot,TERT
RB1 (5925)_damaging,5,0.01785869445193716,4.4,1.6733200530681511,1.0,damaging,RB1
ID3 (3399)_damaging,5,0.01558531841420086,5.0,1.0,1.0,damaging,ID3
BRAF (673)_hotspot,5,0.015535926596026439,5.2,1.4832396974191324,1.0,hotspot,BRAF
PIK3CA (5290)_hotspot,5,0.009885063668570919,11.4,5.941380311005179,1.0,hotspot,PIK3CA
KRAS (3845)_hotspot,5,0.00863620908849284,14.4,8.264381404557755,1.0,hotspot,KRAS
CREBBP (1387)_damaging,5,0.008876463864790681,15.0,7.0710678118654755,1.0,damaging,CREBBP
LRP1B (53353)_damaging,5,0.00809086444853474,15.0,8.215838362577491,1.0,damaging,LRP1B
TYRO3 (7301)_damaging,5,0.007655594050091941,15.8,8.378544026261364,1.0,damaging,TYRO3
NFE2L2 (4780)_hotspot,5,0.007711073968735241,16.6,11.674759098157015,1.0,hotspot,NFE2L2
PITX1 (5307)_damaging,5,0.006836221088174441,18.0,7.810249675906654,1.0,damaging,PITX1
RB1 (5925)_hotspot,5,0.006926740641181419,19.2,8.78635305459552,1.0,hotspot,RB1
MUC19 (283463)_damaging,5,0.0066507617478308,20.4,8.905054744357273,1.0,damaging,MUC19
TTN (7273)_damaging,5,0.006209839456721241,21.4,13.427583550289308,1.0,damaging,TTN
NRAS (4893)_hotspot,5,0.00559208201470556,22.8,8.438009243891594,1.0,hotspot,NRAS
STK11 (6794)_damaging,5,0.006214127941233679,23.8,14.27235089254745,1.0,damaging,STK11
RYR2 (6262)_damaging,5,0.0052947515398914,24.4,9.44986772394196,1.0,damaging,RYR2
SMAD4 (4089)_damaging,5,0.0042892301594080005,34.8,11.211601134539169,1.0,damaging,SMAD4
SLK (9748)_damaging,5,0.0037736874043841602,38.2,13.007690033207279,1.0,damaging,SLK
ASXL1 (171023)_damaging,4,0.00815079326320688,21.8,21.890637268019404,0.8,damaging,ASXL1
PDS5B (23047)_damaging,4,0.00616771452809072,25.2,19.447364860052378,0.8,damaging,PDS5B
BCOR (54880)_damaging,4,0.00566130549116656,33.8,32.797865784224435,0.8,damaging,BCOR
APC (324)_hotspot,4,0.0042473838872965405,35.0,12.349089035228468,0.8,hotspot,APC
APC (324)_damaging,4,0.004532715729472879,36.4,17.7426040929735,0.8,damaging,APC
SMAD4 (4089)_hotspot,4,0.00401199978201598,37.0,17.014699527173555,0.8,hotspot,SMAD4
CFAP47 (286464)_damaging,4,0.00422241899147266,37.6,23.660092983756424,0.8,damaging,CFAP47
FAT1 (2195)_damaging,4,0.00368382394737094,42.0,19.570385790780925,0.8,damaging,FAT1
SLFN11 (91607)_damaging,4,0.00553759690176576,43.6,50.19262894091124,0.8,damaging,SLFN11
SPTA1 (6708)_damaging,4,0.00596989598889288,44.8,64.65833279632255,0.8,damaging,SPTA1
BRCA2 (675)_damaging,4,0.00342615816244106,45.0,20.024984394500787,0.8,damaging,BRCA2
SIN3A (25942)_damaging,4,0.005126554687039241,48.4,54.37186772587456,0.8,damaging,SIN3A
KMT2D (8085)_damaging,3,0.004283431073700559,41.0,23.695991222145572,0.6,damaging,KMT2D
TENM4 (26011)_damaging,3,0.00371719246325738,41.6,15.339491516996253,0.6,damaging,TENM4
KMT2B (9757)_damaging,3,0.0030550400506315,48.2,5.718391382198318,0.6,damaging,KMT2B
USH2A (7399)_damaging,3,0.0040482586285473,48.8,30.244007670942025,0.6,damaging,USH2A
RPL22 (6146)_damaging,3,0.00337263913433946,54.8,33.81124073440666,0.6,damaging,RPL22
MSH3 (4437)_damaging,3,0.00406869100585486,59.0,62.20530523998737,0.6,damaging,MSH3
MUC16 (94025)_damaging,3,0.0029453109068911403,66.0,36.65378561622251,0.6,damaging,MUC16
KALRN (8997)_damaging,3,0.00366992342232104,68.2,62.723201448905655,0.6,damaging,KALRN
AJUBA (84962)_damaging,3,0.00292795104822302,126.6,192.29872594481745,0.6,damaging,AJUBA
