feature,n_folds_selected,mean_importance,mean_rank,rank_std,selection_freq,kind,gene
TP53 (7157)_damaging,5,0.1440917518332584,1.0,0.0,1.0,damaging,TP53
TP53 (7157)_hotspot,5,0.07491859647990294,2.0,0.0,1.0,hotspot,TP53
RB1 (5925)_damaging,5,0.016711667170655,3.8,1.3038404810405297,1.0,damaging,RB1
ID3 (3399)_damaging,5,0.014548913244982701,5.2,2.280350850198276,1.0,damaging,ID3
KRAS (3845)_hotspot,5,0.01303918952916878,6.0,1.4142135623730951,1.0,hotspot,KRAS
NF2 (4771)_damaging,5,0.01202810628760244,7.2,2.8635642126552705,1.0,damaging,NF2
ARID1A (8289)_damaging,5,0.00943864679366278,10.0,3.082207001484488,1.0,damaging,ARID1A
PITX1 (5307)_damaging,5,0.0094756669807847,10.0,2.5495097567963922,1.0,damaging,PITX1
SMAD4 (4089)_damaging,5,0.01070390196563816,11.2,6.496152707564686,1.0,damaging,SMAD4
NRAS (4893)_hotspot,5,0.009248909313559739,13.0,8.54400374531753,1.0,hotspot,NRAS
MUC19 (283463)_damaging,5,0.00970458974258984,16.0,12.649110640673518,1.0,damaging,MUC19
CREBBP (1387)_damaging,5,0.00689407277396638,16.6,7.602631123499285,1.0,damaging,CREBBP
RPL22 (6146)_damaging,5,0.00627033346509488,18.0,6.123724356957945,1.0,damaging,RPL22
TTN (7273)_damaging,5,0.00659493671237624,19.0,14.696938456699069,1.0,damaging,TTN
BRAF (673)_hotspot,5,0.00778444127759228,21.2,16.23884232326923,1.0,hotspot,BRAF
PDS5B (23047)_damaging,5,0.0055354207151486,23.2,9.418067742376884,1.0,damaging,PDS5B
APC (324)_damaging,5,0.00625857137790236,23.6,16.772000476985447,1.0,damaging,APC
STK11 (6794)_damaging,5,0.00528337036276244,24.2,12.676750372236569,1.0,damaging,STK11
MACF1 (23499)_damaging,4,0.00492276919883788,27.6,17.372391890583174,0.8,damaging,MACF1
BCOR (54880)_damaging,4,0.0046601543006969,30.2,14.481022063376603,0.8,damaging,BCOR
TET2 (54790)_damaging,4,0.00500865411273162,33.8,22.083930809527548,0.8,damaging,TET2
PCDH15 (65217)_damaging,4,0.00410540093951954,36.4,14.152738250953417,0.8,damaging,PCDH15
SMARCA4 (6597)_damaging,4,0.00532253588972992,38.6,42.169894474613045,0.8,damaging,SMARCA4
RB1 (5925)_hotspot,4,0.00370075645555096,46.0,28.922309727959142,0.8,hotspot,RB1
PTEN (5728)_damaging,4,0.00469106989722676,55.6,69.37795038771324,0.8,damaging,PTEN
CTCF (10664)_damaging,3,0.0052103526145293,38.4,26.4253666010521,0.6,damaging,CTCF
MKI67 (4288)_damaging,3,0.00367785251619168,46.2,29.149614062625254,0.6,damaging,MKI67
XIRP2 (129446)_damaging,3,0.00322421162278382,48.6,13.08816259067712,0.6,damaging,XIRP2
TERT (7015)_hotspot,3,0.00330126159804064,54.0,32.901367752724205,0.6,hotspot,TERT
CDKN2A (1029)_damaging,3,0.0030186681865315397,55.0,20.591260281974,0.6,damaging,CDKN2A
JAKMIP3 (282973)_damaging,3,0.00311104543057166,68.6,53.13943921420323,0.6,damaging,JAKMIP3
KMT2D (8085)_damaging,3,0.00286021909787698,71.2,56.30896909019024,0.6,damaging,KMT2D
SPATA31H1 (84226)_damaging,3,0.00364205664221402,87.0,87.47285293163817,0.6,damaging,SPATA31H1
DGKH (160851)_damaging,3,0.0030683195171469,100.2,101.73839000102174,0.6,damaging,DGKH
