feature,n_folds_selected,mean_importance,mean_rank,rank_std,selection_freq,kind,gene
TP53 (7157)_damaging,5,0.15314441660165384,1.0,0.0,1.0,damaging,TP53
TP53 (7157)_hotspot,5,0.09413969977671945,2.0,0.0,1.0,hotspot,TP53
TERT (7015)_hotspot,5,0.032257215247046514,3.4,0.5477225575051661,1.0,hotspot,TERT
BRAF (673)_hotspot,5,0.027757641246349902,3.6,0.5477225575051661,1.0,hotspot,BRAF
ID3 (3399)_damaging,5,0.01638199836236898,6.0,1.4142135623730951,1.0,damaging,ID3
LRP1B (53353)_damaging,5,0.01064485225213212,8.2,1.30384048104053,1.0,damaging,LRP1B
TTN (7273)_damaging,5,0.01254412510959064,8.6,3.361547262794322,1.0,damaging,TTN
KRAS (3845)_hotspot,5,0.0115862569306948,9.2,4.868264577855234,1.0,hotspot,KRAS
CREBBP (1387)_damaging,5,0.0094859760197547,10.0,4.0,1.0,damaging,CREBBP
RB1 (5925)_damaging,5,0.00961481221102584,11.8,6.099180272790763,1.0,damaging,RB1
APC (324)_damaging,5,0.008956839215454659,12.6,6.618156843109719,1.0,damaging,APC
GNA13 (10672)_damaging,5,0.00726188204560452,14.4,5.029910535983717,1.0,damaging,GNA13
BCOR (54880)_damaging,5,0.00764305111011766,17.2,11.691877522451216,1.0,damaging,BCOR
CDKN2A (1029)_damaging,5,0.006708338517162721,17.2,6.418722614352484,1.0,damaging,CDKN2A
FAT1 (2195)_damaging,5,0.00621582714245894,18.2,5.449770637375485,1.0,damaging,FAT1
KMT2D (8085)_damaging,5,0.0063675504258544,18.4,5.412947441089743,1.0,damaging,KMT2D
CCND3 (896)_damaging,5,0.00489443560304362,28.6,16.25730604989646,1.0,damaging,CCND3
MSH3 (4437)_damaging,5,0.0041559457106591395,30.0,11.224972160321824,1.0,damaging,MSH3
RPL22 (6146)_damaging,5,0.0046941750402091,30.0,13.729530217745982,1.0,damaging,RPL22
NF1 (4763)_damaging,4,0.0048513208763749805,28.4,15.59807680452946,0.8,damaging,NF1
PDS5B (23047)_damaging,4,0.0053964770120429,28.4,19.806564568344506,0.8,damaging,PDS5B
SMAD4 (4089)_damaging,4,0.0047005912009772804,30.6,18.365728953678914,0.8,damaging,SMAD4
MTOR (2475)_hotspot,4,0.0047296421739383004,31.2,19.562719647329203,0.8,hotspot,MTOR
