feature,n_folds_selected,mean_importance,mean_rank,rank_std,selection_freq,kind,gene
TP53 (7157)_damaging,5,0.5661849042096533,1.0,0.0,1.0,damaging,TP53
BRAF (673)_hotspot,5,0.246550774065335,2.2,0.447213595499958,1.0,hotspot,BRAF
ID3 (3399)_damaging,5,0.19011289415457494,3.6,1.51657508881031,1.0,damaging,ID3
TERT (7015)_hotspot,5,0.17206476738312712,4.0,1.224744871391589,1.0,hotspot,TERT
TP53 (7157)_hotspot,5,0.1422347779378526,6.6,3.2093613071762426,1.0,hotspot,TP53
CREBBP (1387)_damaging,5,0.12536601543497175,7.8,2.3874672772626644,1.0,damaging,CREBBP
LRP1B (53353)_damaging,5,0.10991567624708734,10.0,3.3166247903554,1.0,damaging,LRP1B
CCND3 (896)_damaging,5,0.09466357786480835,16.8,11.966620241321273,1.0,damaging,CCND3
NF2 (4771)_damaging,5,0.09624864801375924,19.0,9.192388155425117,1.0,damaging,NF2
GNA13 (10672)_damaging,5,0.08041271135553862,21.8,12.637246535539298,1.0,damaging,GNA13
DIDO1 (11083)_damaging,5,0.07900088678406639,22.6,12.340988615179905,1.0,damaging,DIDO1
TGFBR2 (7048)_damaging,5,0.09392729891708367,27.2,20.0922870773837,1.0,damaging,TGFBR2
PITRM1 (10531)_damaging,4,0.09293170438571607,16.25,5.315072906367325,0.8,damaging,PITRM1
MTOR (2475)_hotspot,4,0.09459448605989125,22.6,27.871132018631748,0.8,hotspot,MTOR
BCOR (54880)_damaging,4,0.10270224275314399,28.8,47.15612367444975,0.8,damaging,BCOR
FREM2 (341640)_damaging,4,0.06317159649242485,59.8,69.3123365642798,0.8,damaging,FREM2
BSN (8927)_damaging,4,0.05334911007875082,86.6,115.43959459388275,0.8,damaging,BSN
SEMA3E (9723)_damaging,3,0.06755583984604754,55.8,62.31532716755967,0.6,damaging,SEMA3E
APC (324)_damaging,3,0.056184775056982286,56.8,27.471803726730432,0.6,damaging,APC
MSH3 (4437)_damaging,3,0.05622534270072348,66.2,57.660211584766145,0.6,damaging,MSH3
KALRN (8997)_damaging,3,0.06444043373887903,68.2,79.22562716697168,0.6,damaging,KALRN
FAT2 (2196)_damaging,3,0.055625940350667126,69.6,54.688207138285314,0.6,damaging,FAT2
TTN (7273)_damaging,3,0.05542553702286916,72.0,79.58643100428615,0.6,damaging,TTN
SCN2A (6326)_damaging,3,0.05351259709796034,76.2,76.76392381841876,0.6,damaging,SCN2A
ITGB4 (3691)_damaging,3,0.05471657100922346,82.2,65.4499809014487,0.6,damaging,ITGB4
RAD50 (10111)_damaging,3,0.059121044463418836,84.8,89.95109782542957,0.6,damaging,RAD50
PTPRC (5788)_damaging,3,0.063299219586502,95.2,120.40847146276711,0.6,damaging,PTPRC
PTPRT (11122)_damaging,3,0.0404339079616002,117.4,104.00144229769123,0.6,damaging,PTPRT
ASXL1 (171023)_damaging,3,0.04222537600222012,118.4,115.04911994448284,0.6,damaging,ASXL1
GPATCH8 (23131)_damaging,2,0.07661436737574327,29.666666666666668,21.77919496522618,0.4,damaging,GPATCH8
FBXO11 (80204)_damaging,2,0.0745104806996392,30.0,7.0710678118654755,0.4,damaging,FBXO11
STK31 (56164)_damaging,2,0.06549153145884405,42.25,23.34345018772218,0.4,damaging,STK31
KRAS (3845)_hotspot,2,0.06025123314923812,48.0,18.439088914585774,0.4,hotspot,KRAS
GLG1 (2734)_damaging,2,0.062135271005315205,48.666666666666664,29.091808698211484,0.4,damaging,GLG1
ROBO2 (6092)_damaging,2,0.055619462269646106,56.6,19.308029417835474,0.4,damaging,ROBO2
C2orf81 (388963)_hotspot,2,0.060865853999317765,59.0,30.757112998459398,0.4,hotspot,C2orf81
FAT1 (2195)_damaging,2,0.05609367236434184,65.8,46.00217386167745,0.4,damaging,FAT1
TMEM245 (23731)_damaging,2,0.051670449275903765,71.0,44.50280890011326,0.4,damaging,TMEM245
STAB2 (55576)_damaging,2,0.05404321164428032,78.6,54.141481324396736,0.4,damaging,STAB2
RB1 (5925)_hotspot,2,0.0503597749815648,81.4,64.70548662980597,0.4,hotspot,RB1
CTNNA1 (1495)_damaging,2,0.05589854678760442,83.2,75.41021151011314,0.4,damaging,CTNNA1
RNF17 (56163)_damaging,2,0.05082087938389054,88.66666666666667,103.01617995894301,0.4,damaging,RNF17
PIK3CA (5290)_hotspot,2,0.045671516582207625,92.0,65.72290316168329,0.4,hotspot,PIK3CA
SLK (9748)_damaging,2,0.05092588125455424,92.0,87.88344554010158,0.4,damaging,SLK
DNAH8 (1769)_damaging,2,0.04593122524773162,93.2,66.7397932271295,0.4,damaging,DNAH8
TAL1 (6886)_damaging,2,0.04653207460919068,99.8,90.85537958756213,0.4,damaging,TAL1
NRAS (4893)_hotspot,2,0.0458482318054148,101.0,108.97706180660222,0.4,hotspot,NRAS
GOLGA4 (2803)_damaging,2,0.04365820500890698,103.6,106.50492946338213,0.4,damaging,GOLGA4
SPAG8 (26206)_damaging,2,0.04520737941346828,105.6,106.49084467690169,0.4,damaging,SPAG8
DGKH (160851)_damaging,2,0.04965988044135579,110.4,99.05705426672044,0.4,damaging,DGKH
STK11 (6794)_damaging,2,0.039371603346159176,113.8,72.00138887549323,0.4,damaging,STK11
LRBA (987)_damaging,2,0.04240827218410165,115.0,118.84724088790057,0.4,damaging,LRBA
NSD1 (64324)_damaging,2,0.03872091840353916,122.2,102.99126176525851,0.4,damaging,NSD1
CMYA5 (202333)_damaging,2,0.04019389243147644,124.8,107.04998832321282,0.4,damaging,CMYA5
PKHD1 (5314)_damaging,2,0.038035217819992716,126.2,111.62302629834043,0.4,damaging,PKHD1
FHOD3 (80206)_damaging,2,0.03618779919236642,136.6,108.384962056551,0.4,damaging,FHOD3
RB1 (5925)_damaging,2,0.03208866625238198,153.2,123.75055555430852,0.4,damaging,RB1
DNAH5 (1767)_damaging,2,0.039367515114572184,167.2,140.7007462666776,0.4,damaging,DNAH5
SETBP1 (26040)_damaging,2,0.025525132445435077,191.4,136.48553036860721,0.4,damaging,SETBP1
FOXO1 (2308)_damaging,1,0.0864115826049318,17.0,,0.2,damaging,FOXO1
PPP2R1A (5518)_damaging,1,0.0766089689187623,22.0,,0.2,damaging,PPP2R1A
MYO3B (140469)_damaging,1,0.0745686866404232,23.0,,0.2,damaging,MYO3B
CCNQ (92002)_damaging,1,0.0733301965731628,24.0,,0.2,damaging,CCNQ
