fold,panel_size,target,feature
0,5,wgd,TP53 (7157)_damaging
0,5,wgd,ID3 (3399)_damaging
0,5,wgd,BRAF (673)_hotspot
0,5,wgd,TERT (7015)_hotspot
0,5,wgd,CCND3 (896)_damaging
0,10,wgd,TP53 (7157)_damaging
0,10,wgd,ID3 (3399)_damaging
0,10,wgd,BRAF (673)_hotspot
0,10,wgd,TERT (7015)_hotspot
0,10,wgd,CCND3 (896)_damaging
0,10,wgd,MTOR (2475)_hotspot
0,10,wgd,CREBBP (1387)_damaging
0,10,wgd,BCOR (54880)_damaging
0,10,wgd,PTPRC (5788)_damaging
0,10,wgd,MEGF6 (1953)_damaging
0,20,wgd,TP53 (7157)_damaging
0,20,wgd,ID3 (3399)_damaging
0,20,wgd,BRAF (673)_hotspot
0,20,wgd,TERT (7015)_hotspot
0,20,wgd,CCND3 (896)_damaging
0,20,wgd,MTOR (2475)_hotspot
0,20,wgd,CREBBP (1387)_damaging
0,20,wgd,BCOR (54880)_damaging
0,20,wgd,PTPRC (5788)_damaging
0,20,wgd,MEGF6 (1953)_damaging
0,20,wgd,LRP1B (53353)_damaging
0,20,wgd,TP53 (7157)_hotspot
0,20,wgd,ABL2 (27)_damaging
0,20,wgd,PITRM1 (10531)_damaging
0,20,wgd,MDGA2 (161357)_damaging
0,20,wgd,NF2 (4771)_damaging
0,20,wgd,CSMD1 (64478)_damaging
0,20,wgd,C2orf81 (388963)_hotspot
0,20,wgd,ITGB4 (3691)_damaging
0,20,wgd,SEMA3E (9723)_damaging
0,50,wgd,TP53 (7157)_damaging
0,50,wgd,ID3 (3399)_damaging
0,50,wgd,BRAF (673)_hotspot
0,50,wgd,TERT (7015)_hotspot
0,50,wgd,CCND3 (896)_damaging
0,50,wgd,MTOR (2475)_hotspot
0,50,wgd,CREBBP (1387)_damaging
0,50,wgd,BCOR (54880)_damaging
0,50,wgd,PTPRC (5788)_damaging
0,50,wgd,MEGF6 (1953)_damaging
0,50,wgd,LRP1B (53353)_damaging
0,50,wgd,TP53 (7157)_hotspot
0,50,wgd,ABL2 (27)_damaging
0,50,wgd,PITRM1 (10531)_damaging
0,50,wgd,MDGA2 (161357)_damaging
0,50,wgd,NF2 (4771)_damaging
0,50,wgd,CSMD1 (64478)_damaging
0,50,wgd,C2orf81 (388963)_hotspot
0,50,wgd,ITGB4 (3691)_damaging
0,50,wgd,SEMA3E (9723)_damaging
0,50,wgd,SYNCRIP (10492)_damaging
0,50,wgd,GNA13 (10672)_damaging
0,50,wgd,GPATCH8 (23131)_damaging
0,50,wgd,ALPK2 (115701)_damaging
0,50,wgd,ADAM22 (53616)_damaging
0,50,wgd,HLA-B (3106)_damaging
0,50,wgd,MSH3 (4437)_damaging
0,50,wgd,TMEM245 (23731)_damaging
0,50,wgd,KRAS (3845)_hotspot
0,50,wgd,SPTAN1 (6709)_damaging
0,50,wgd,GABRG2 (2566)_damaging
0,50,wgd,FREM2 (341640)_damaging
0,50,wgd,SPAG8 (26206)_damaging
0,50,wgd,MUC5B (727897)_damaging
0,50,wgd,DIDO1 (11083)_damaging
0,50,wgd,CRYBG3 (131544)_damaging
0,50,wgd,APC (324)_damaging
0,50,wgd,TERT (7015)_damaging
0,50,wgd,BSN (8927)_damaging
0,50,wgd,RNF17 (56163)_damaging
0,50,wgd,CACNA1D (776)_damaging
0,50,wgd,ASXL1 (171023)_damaging
0,50,wgd,BRWD1 (54014)_damaging
0,50,wgd,ABCA13 (154664)_damaging
0,50,wgd,FREM1 (158326)_damaging
0,50,wgd,PKHD1 (5314)_damaging
0,50,wgd,TGFBR2 (7048)_damaging
0,50,wgd,SLK (9748)_damaging
0,50,wgd,WWC2 (80014)_damaging
0,50,wgd,KDM6B (23135)_damaging
1,5,wgd,TP53 (7157)_damaging
1,5,wgd,BRAF (673)_hotspot
1,5,wgd,TERT (7015)_hotspot
1,5,wgd,TP53 (7157)_hotspot
1,5,wgd,TGFBR2 (7048)_damaging
1,10,wgd,TP53 (7157)_damaging
1,10,wgd,BRAF (673)_hotspot
1,10,wgd,TERT (7015)_hotspot
1,10,wgd,TP53 (7157)_hotspot
1,10,wgd,TGFBR2 (7048)_damaging
1,10,wgd,ID3 (3399)_damaging
1,10,wgd,CREBBP (1387)_damaging
1,10,wgd,MTOR (2475)_hotspot
1,10,wgd,RAD50 (10111)_damaging
1,10,wgd,DGKH (160851)_damaging
1,20,wgd,TP53 (7157)_damaging
1,20,wgd,BRAF (673)_hotspot
1,20,wgd,TERT (7015)_hotspot
1,20,wgd,TP53 (7157)_hotspot
1,20,wgd,TGFBR2 (7048)_damaging
1,20,wgd,ID3 (3399)_damaging
1,20,wgd,CREBBP (1387)_damaging
1,20,wgd,MTOR (2475)_hotspot
1,20,wgd,RAD50 (10111)_damaging
1,20,wgd,DGKH (160851)_damaging
1,20,wgd,LRP1B (53353)_damaging
1,20,wgd,BCOR (54880)_damaging
1,20,wgd,NF1 (4763)_damaging
1,20,wgd,KALRN (8997)_damaging
1,20,wgd,SLK (9748)_damaging
1,20,wgd,DIDO1 (11083)_damaging
1,20,wgd,SEMA3E (9723)_damaging
1,20,wgd,ARAP2 (116984)_damaging
1,20,wgd,PITRM1 (10531)_damaging
1,20,wgd,FAT1 (2195)_damaging
1,50,wgd,TP53 (7157)_damaging
1,50,wgd,BRAF (673)_hotspot
1,50,wgd,TERT (7015)_hotspot
1,50,wgd,TP53 (7157)_hotspot
1,50,wgd,TGFBR2 (7048)_damaging
1,50,wgd,ID3 (3399)_damaging
1,50,wgd,CREBBP (1387)_damaging
1,50,wgd,MTOR (2475)_hotspot
1,50,wgd,RAD50 (10111)_damaging
1,50,wgd,DGKH (160851)_damaging
1,50,wgd,LRP1B (53353)_damaging
1,50,wgd,BCOR (54880)_damaging
1,50,wgd,NF1 (4763)_damaging
1,50,wgd,KALRN (8997)_damaging
1,50,wgd,SLK (9748)_damaging
1,50,wgd,DIDO1 (11083)_damaging
1,50,wgd,SEMA3E (9723)_damaging
1,50,wgd,ARAP2 (116984)_damaging
1,50,wgd,PITRM1 (10531)_damaging
1,50,wgd,FAT1 (2195)_damaging
1,50,wgd,GLG1 (2734)_damaging
1,50,wgd,FREM2 (341640)_damaging
1,50,wgd,CDH7 (1005)_damaging
1,50,wgd,SCN2A (6326)_damaging
1,50,wgd,AEBP1 (165)_damaging
1,50,wgd,STK31 (56164)_damaging
1,50,wgd,FHOD3 (80206)_damaging
1,50,wgd,NF1 (4763)_hotspot
1,50,wgd,DNAH9 (1770)_damaging
1,50,wgd,TNR (7143)_damaging
1,50,wgd,NF2 (4771)_damaging
1,50,wgd,PIK3CA (5290)_hotspot
1,50,wgd,DNAH8 (1769)_damaging
1,50,wgd,FAT2 (2196)_damaging
1,50,wgd,FBXO11 (80204)_damaging
1,50,wgd,MUC12 (10071)_damaging
1,50,wgd,CCND3 (896)_damaging
1,50,wgd,BSN (8927)_damaging
1,50,wgd,TMEM245 (23731)_damaging
1,50,wgd,GNA13 (10672)_damaging
1,50,wgd,PMS2 (5395)_damaging
1,50,wgd,NRAS (4893)_hotspot
1,50,wgd,THSD7B (80731)_damaging
1,50,wgd,ATRX (546)_damaging
1,50,wgd,C2orf81 (388963)_hotspot
1,50,wgd,GOLGA4 (2803)_damaging
1,50,wgd,LRP4 (4038)_damaging
1,50,wgd,FLT4 (2324)_damaging
1,50,wgd,MYH1 (4619)_damaging
1,50,wgd,PARD3B (117583)_damaging
2,5,wgd,TP53 (7157)_damaging
2,5,wgd,BRAF (673)_hotspot
2,5,wgd,TERT (7015)_hotspot
2,5,wgd,ID3 (3399)_damaging
2,5,wgd,TP53 (7157)_hotspot
2,10,wgd,TP53 (7157)_damaging
2,10,wgd,BRAF (673)_hotspot
2,10,wgd,TERT (7015)_hotspot
