fold,panel_size,target,feature
0,5,wgd,TP53 (7157)_damaging
0,5,wgd,TP53 (7157)_hotspot
0,5,wgd,TERT (7015)_hotspot
0,5,wgd,BRAF (673)_hotspot
0,5,wgd,ID3 (3399)_damaging
0,10,wgd,TP53 (7157)_damaging
0,10,wgd,TP53 (7157)_hotspot
0,10,wgd,TERT (7015)_hotspot
0,10,wgd,BRAF (673)_hotspot
0,10,wgd,ID3 (3399)_damaging
0,10,wgd,KRAS (3845)_hotspot
0,10,wgd,CREBBP (1387)_damaging
0,10,wgd,TTN (7273)_damaging
0,10,wgd,LRP1B (53353)_damaging
0,10,wgd,APC (324)_damaging
0,20,wgd,TP53 (7157)_damaging
0,20,wgd,TP53 (7157)_hotspot
0,20,wgd,TERT (7015)_hotspot
0,20,wgd,BRAF (673)_hotspot
0,20,wgd,ID3 (3399)_damaging
0,20,wgd,KRAS (3845)_hotspot
0,20,wgd,CREBBP (1387)_damaging
0,20,wgd,TTN (7273)_damaging
0,20,wgd,LRP1B (53353)_damaging
0,20,wgd,APC (324)_damaging
0,20,wgd,CCND3 (896)_damaging
0,20,wgd,CSMD1 (64478)_damaging
0,20,wgd,BCOR (54880)_damaging
0,20,wgd,CDKN2A (1029)_damaging
0,20,wgd,RB1 (5925)_damaging
0,20,wgd,MTOR (2475)_hotspot
0,20,wgd,KMT2D (8085)_damaging
0,20,wgd,MUC16 (94025)_damaging
0,20,wgd,GNA13 (10672)_damaging
0,20,wgd,PITX1 (5307)_damaging
0,50,wgd,TP53 (7157)_damaging
0,50,wgd,TP53 (7157)_hotspot
0,50,wgd,TERT (7015)_hotspot
0,50,wgd,BRAF (673)_hotspot
0,50,wgd,ID3 (3399)_damaging
0,50,wgd,KRAS (3845)_hotspot
0,50,wgd,CREBBP (1387)_damaging
0,50,wgd,TTN (7273)_damaging
0,50,wgd,LRP1B (53353)_damaging
0,50,wgd,APC (324)_damaging
0,50,wgd,CCND3 (896)_damaging
0,50,wgd,CSMD1 (64478)_damaging
0,50,wgd,BCOR (54880)_damaging
0,50,wgd,CDKN2A (1029)_damaging
0,50,wgd,RB1 (5925)_damaging
0,50,wgd,MTOR (2475)_hotspot
0,50,wgd,KMT2D (8085)_damaging
0,50,wgd,MUC16 (94025)_damaging
0,50,wgd,GNA13 (10672)_damaging
0,50,wgd,PITX1 (5307)_damaging
0,50,wgd,FAT1 (2195)_damaging
0,50,wgd,NF1 (4763)_damaging
0,50,wgd,ASXL1 (171023)_damaging
0,50,wgd,PIK3CA (5290)_hotspot
0,50,wgd,DNAH8 (1769)_damaging
0,50,wgd,RYR2 (6262)_damaging
0,50,wgd,HLA-A (3105)_damaging
0,50,wgd,SPAG8 (26206)_damaging
0,50,wgd,NF2 (4771)_damaging
0,50,wgd,SPATA22 (84690)_damaging
0,50,wgd,NFE2L2 (4780)_hotspot
0,50,wgd,MUC19 (283463)_damaging
0,50,wgd,USH2A (7399)_damaging
0,50,wgd,C2orf81 (388963)_hotspot
0,50,wgd,MSH3 (4437)_damaging
0,50,wgd,ABCA13 (154664)_damaging
0,50,wgd,RB1 (5925)_hotspot
0,50,wgd,DDX3X (1654)_damaging
0,50,wgd,NRAS (4893)_hotspot
0,50,wgd,PDS5B (23047)_damaging
0,50,wgd,SLK (9748)_damaging
0,50,wgd,ARID1A (8289)_damaging
0,50,wgd,THSD7B (80731)_damaging
0,50,wgd,AKAP9 (10142)_damaging
0,50,wgd,MYH1 (4619)_damaging
0,50,wgd,SIN3A (25942)_damaging
0,50,wgd,TGFBR2 (7048)_damaging
0,50,wgd,RPL22 (6146)_damaging
0,50,wgd,EGFR (1956)_hotspot
0,50,wgd,DGKH (160851)_damaging
1,5,wgd,TP53 (7157)_damaging
1,5,wgd,TP53 (7157)_hotspot
1,5,wgd,BRAF (673)_hotspot
1,5,wgd,TERT (7015)_hotspot
1,5,wgd,CREBBP (1387)_damaging
