held_out_lineage,roc_auc_wgd,roc_auc_cin,roc_auc_loh,n_cell_lines,wgd_positive_rate
Thyroid,0.8816,0.5795,0.7576,23,0.8261
Fibroblast,0.8534,1.0,0.7328,31,0.0645
CNS/Brain,0.7908,0.7407,0.6699,95,0.7684
Head and Neck,0.7805,0.6167,0.537,80,0.8125
Liver,0.7576,0.47,0.5735,25,0.88
Soft Tissue,0.7088,0.5005,0.516,67,0.6418
Esophagus/Stomach,0.7045,0.5286,0.7321,76,0.8684
Peripheral Nervous System,0.6957,0.5038,0.675,43,0.3953
Bone,0.6692,0.6001,0.5558,79,0.557
Breast,0.6588,0.713,0.7159,56,0.9107
Myeloid,0.6539,0.5129,0.6788,71,0.2817
Ovary/Fallopian Tube,0.6491,0.6756,0.7744,50,0.76
Uterus,0.625,0.7485,0.898,28,0.5714
Lymphoid,0.6235,0.6441,0.6484,226,0.2301
Bowel,0.6173,0.4991,0.5855,69,0.7826
Kidney,0.6042,0.6273,0.5714,50,0.52
Skin,0.5944,0.6237,0.5474,123,0.7886
Bladder/Urinary Tract,0.5938,0.5911,0.5875,34,0.9412
Pleura,0.5686,0.5595,0.4808,32,0.7812
Biliary Tract,0.5491,0.3854,0.5636,32,0.875
Pancreas,0.5089,0.376,0.4853,46,0.913
Cervix,0.4688,0.5143,0.5571,24,0.6667
Lung,0.4493,0.4363,0.6089,196,0.8929
Eye,0.314,0.3661,0.3471,22,0.5
