roc_auc,pr_auc,balanced_accuracy,sensitivity,specificity,f1,brier,n_test,positive_rate,threshold,fold,model,target,representation,n_features,best_params
0.7210073305329052,0.8163057703250973,0.7032987398072647,0.7136150234741784,0.6929824561403509,0.76,0.2160629082961949,327,0.6513761467889908,0.449,0,logistic,wgd,pathway,22,{'clf__C': 0.01}
0.6734596368773111,0.8025328886608554,0.6472225684490424,0.6572769953051644,0.6371681415929203,0.7106598984771574,0.22782324153728067,326,0.6533742331288344,0.487,1,logistic,wgd,pathway,22,{'clf__C': 0.1}
0.6247247496780091,0.7146646933937627,0.6122813577630977,0.596244131455399,0.6283185840707964,0.6649214659685864,0.2439752286485524,326,0.6533742331288344,0.486,2,logistic,wgd,pathway,22,{'clf__C': 0.1}
0.7241472433420583,0.816263480369548,0.6910133366571108,0.7183098591549296,0.6637168141592921,0.7574257425742574,0.2125861406400702,326,0.6533742331288344,0.452,3,logistic,wgd,pathway,22,{'clf__C': 1.0}
0.6255379013571665,0.7332725642691031,0.6391923204237007,0.7169811320754716,0.5614035087719298,0.7342995169082126,0.23042459635189996,326,0.6503067484662577,0.474,4,logistic,wgd,pathway,22,{'clf__C': 0.1}
0.6520088283704925,0.6046613763485713,0.6547209337124047,0.7484662576687117,0.5609756097560976,0.6834733893557423,0.23132995610658583,327,0.4984709480122324,0.458,0,logistic,cin,pathway,22,{'clf__C': 0.01}
0.6763521397116941,0.6628812064512987,0.6441717791411044,0.7116564417177914,0.5766871165644172,0.6666666666666666,0.2274357625184861,326,0.5,0.438,1,logistic,cin,pathway,22,{'clf__C': 0.1}
0.621419699649968,0.6125897419679718,0.6134969325153374,0.6809815950920245,0.5460122699386503,0.6379310344827587,0.23748999053117534,326,0.5,0.454,2,logistic,cin,pathway,22,{'clf__C': 0.01}
0.6598291241672627,0.6473286295681276,0.6349693251533742,0.6503067484662577,0.6196319018404908,0.6404833836858006,0.2290647832066369,326,0.5,0.481,3,logistic,cin,pathway,22,{'clf__C': 0.1}
0.6061427280939475,0.6215589103285735,0.5856669677807889,0.6219512195121951,0.5493827160493827,0.6017699115044248,0.2387787163669914,326,0.5030674846625767,0.461,4,logistic,cin,pathway,22,{'clf__C': 0.01}
0.5909771060900794,0.5782839519735303,0.5963826125991321,0.6134969325153374,0.5792682926829268,0.6024096385542169,0.2498872826672074,327,0.4984709480122324,0.476,0,logistic,loh,pathway,22,{'clf__C': 0.1}
0.6458843012533404,0.6108346064241799,0.6257668711656441,0.6993865030674846,0.5521472392638037,0.6514285714285715,0.23504231410484508,326,0.5,0.452,1,logistic,loh,pathway,22,{'clf__C': 0.01}
0.6899958598366517,0.6561869899245745,0.6503067484662577,0.6993865030674846,0.6012269938650306,0.6666666666666666,0.22446609368665577,326,0.5,0.486,2,logistic,loh,pathway,22,{'clf__C': 1.0}
0.6555819030412527,0.6411231465560508,0.6315115928937067,0.6951219512195121,0.5679012345679012,0.6551724137931034,0.23105635187243473,326,0.5030674846625767,0.44,3,logistic,loh,pathway,22,{'clf__C': 0.01}
0.6567428205803756,0.6121309832809146,0.656441717791411,0.7300613496932515,0.5828220858895705,0.68,0.2339019975484528,326,0.5,0.463,4,logistic,loh,pathway,22,{'clf__C': 0.01}
0.7707561156412157,0.8629603158941751,0.7122559920929084,0.6525821596244131,0.7719298245614035,0.7354497354497355,0.20338588629334986,327,0.6513761467889908,0.577,0,random_forest,wgd,pathway,22,"{'clf__max_depth': 8, 'clf__min_samples_leaf': 5}"
0.7386472225684491,0.8454161734050557,0.6925505837384187,0.6948356807511737,0.6902654867256637,0.7474747474747475,0.2045077786970995,326,0.6533742331288344,0.584,1,random_forest,wgd,pathway,22,"{'clf__max_depth': 8, 'clf__min_samples_leaf': 1}"
0.6630728322738793,0.7678844000530786,0.6292533964851053,0.647887323943662,0.6106194690265486,0.6987341772151898,0.22582665114860165,326,0.6533742331288344,0.52,2,random_forest,wgd,pathway,22,"{'clf__max_depth': None, 'clf__min_samples_leaf': 5}"
0.7518176908056006,0.8353015887967903,0.7368814657858656,0.7746478873239436,0.6991150442477876,0.8009708737864077,0.19869446691439357,326,0.6533742331288344,0.557,3,random_forest,wgd,pathway,22,"{'clf__max_depth': 8, 'clf__min_samples_leaf': 1}"
0.6772178086726249,0.7579477995597028,0.6503227408143,0.7216981132075472,0.5789473684210527,0.7409200968523002,0.21575536046208438,326,0.6503067484662577,0.498,4,random_forest,wgd,pathway,22,"{'clf__max_depth': 8, 'clf__min_samples_leaf': 5}"
0.7352049977554991,0.6655549998093642,0.7036884632650007,0.8098159509202454,0.5975609756097561,0.7313019390581718,0.20609496844919928,327,0.4984709480122324,0.508,0,random_forest,cin,pathway,22,"{'clf__max_depth': 8, 'clf__min_samples_leaf': 1}"
0.7213293688132785,0.6836932219462737,0.6871165644171779,0.7791411042944786,0.5950920245398773,0.7134831460674157,0.21334043186260915,326,0.5,0.528,1,random_forest,cin,pathway,22,"{'clf__max_depth': 8, 'clf__min_samples_leaf': 1}"
0.6699348865218864,0.6383113967320334,0.6196319018404908,0.754601226993865,0.48466257668711654,0.6648648648648648,0.22821555948797653,326,0.5,0.447,2,random_forest,cin,pathway,22,"{'clf__max_depth': 8, 'clf__min_samples_leaf': 1}"
