model,target,panel_size,jaccard
logistic_l1,wgd,5,0.6047619047619048
logistic_l1,wgd,10,0.5014652014652015
logistic_l1,wgd,20,0.4676013641530883
logistic_l1,wgd,30,0.4897480568212275
logistic_l1,cin,5,0.48809523809523814
logistic_l1,cin,10,0.47582417582417574
logistic_l1,cin,20,0.4528718790787757
logistic_l1,cin,30,0.5163523254665744
logistic_l1,loh,5,0.42658730158730157
logistic_l1,loh,10,0.6043956043956044
logistic_l1,loh,20,0.5206023606023606
logistic_l1,loh,30,0.5657785696938457
random_forest,wgd,5,0.6523809523809524
random_forest,wgd,10,0.6067266067266067
random_forest,wgd,20,0.5953276353276353
random_forest,wgd,30,0.6435312170606289
random_forest,cin,5,0.46428571428571425
random_forest,cin,10,0.7428571428571429
random_forest,cin,20,0.6696442687747035
random_forest,cin,30,0.7176636444051305
random_forest,loh,5,0.8
random_forest,loh,10,0.6282051282051282
random_forest,loh,20,0.572087912087912
random_forest,loh,30,0.6873522873522874
