model,target,seed,roc_auc
logistic,wgd,0,0.7143505041344433
logistic,wgd,1,0.7154486843786543
logistic,wgd,2,0.7146130104213654
logistic,cin,0,0.7148036404764248
logistic,cin,1,0.7133516506079955
logistic,cin,2,0.7156205792740302
logistic,loh,0,0.6997290992895627
logistic,loh,1,0.700343963278059
logistic,loh,2,0.6968363182001717
random_forest,wgd,0,0.7624675019541702
random_forest,wgd,1,0.7619624254438191
random_forest,wgd,2,0.7628816958152516
random_forest,cin,0,0.764918977929204
random_forest,cin,1,0.7613705875904668
random_forest,cin,2,0.7604428964986703
random_forest,loh,0,0.7454776288889766
random_forest,loh,1,0.7463029858067315
random_forest,loh,2,0.7478923823969585
