fold,panel_size,target,feature,model
0,5,cin,TP53 (7157)_damaging,elastic_net_reg
0,5,cin,BRAF (673)_hotspot,elastic_net_reg
0,5,cin,ID3 (3399)_damaging,elastic_net_reg
0,5,cin,TERT (7015)_hotspot,elastic_net_reg
0,5,cin,CMYA5 (202333)_damaging,elastic_net_reg
0,10,cin,TP53 (7157)_damaging,elastic_net_reg
0,10,cin,BRAF (673)_hotspot,elastic_net_reg
0,10,cin,ID3 (3399)_damaging,elastic_net_reg
0,10,cin,TERT (7015)_hotspot,elastic_net_reg
0,10,cin,CMYA5 (202333)_damaging,elastic_net_reg
0,10,cin,ABCA9 (10350)_damaging,elastic_net_reg
0,10,cin,PIK3CA (5290)_hotspot,elastic_net_reg
0,10,cin,WDR7 (23335)_damaging,elastic_net_reg
0,10,cin,SIN3A (25942)_damaging,elastic_net_reg
0,10,cin,RB1 (5925)_damaging,elastic_net_reg
0,20,cin,TP53 (7157)_damaging,elastic_net_reg
0,20,cin,BRAF (673)_hotspot,elastic_net_reg
0,20,cin,ID3 (3399)_damaging,elastic_net_reg
0,20,cin,TERT (7015)_hotspot,elastic_net_reg
0,20,cin,CMYA5 (202333)_damaging,elastic_net_reg
0,20,cin,ABCA9 (10350)_damaging,elastic_net_reg
0,20,cin,PIK3CA (5290)_hotspot,elastic_net_reg
0,20,cin,WDR7 (23335)_damaging,elastic_net_reg
0,20,cin,SIN3A (25942)_damaging,elastic_net_reg
0,20,cin,RB1 (5925)_damaging,elastic_net_reg
0,20,cin,ASXL1 (171023)_damaging,elastic_net_reg
0,20,cin,STK11 (6794)_damaging,elastic_net_reg
0,20,cin,IRF8 (3394)_damaging,elastic_net_reg
0,20,cin,FHOD3 (80206)_damaging,elastic_net_reg
0,20,cin,CEP126 (57562)_damaging,elastic_net_reg
0,20,cin,RAD50 (10111)_damaging,elastic_net_reg
0,20,cin,PTPRB (5787)_damaging,elastic_net_reg
0,20,cin,MUC19 (283463)_damaging,elastic_net_reg
0,20,cin,RB1 (5925)_hotspot,elastic_net_reg
0,20,cin,SPG11 (80208)_damaging,elastic_net_reg
0,50,cin,TP53 (7157)_damaging,elastic_net_reg
0,50,cin,BRAF (673)_hotspot,elastic_net_reg
0,50,cin,ID3 (3399)_damaging,elastic_net_reg
0,50,cin,TERT (7015)_hotspot,elastic_net_reg
0,50,cin,CMYA5 (202333)_damaging,elastic_net_reg
0,50,cin,ABCA9 (10350)_damaging,elastic_net_reg
0,50,cin,PIK3CA (5290)_hotspot,elastic_net_reg
0,50,cin,WDR7 (23335)_damaging,elastic_net_reg
0,50,cin,SIN3A (25942)_damaging,elastic_net_reg
0,50,cin,RB1 (5925)_damaging,elastic_net_reg
0,50,cin,ASXL1 (171023)_damaging,elastic_net_reg
0,50,cin,STK11 (6794)_damaging,elastic_net_reg
0,50,cin,IRF8 (3394)_damaging,elastic_net_reg
0,50,cin,FHOD3 (80206)_damaging,elastic_net_reg
0,50,cin,CEP126 (57562)_damaging,elastic_net_reg
0,50,cin,RAD50 (10111)_damaging,elastic_net_reg
0,50,cin,PTPRB (5787)_damaging,elastic_net_reg
0,50,cin,MUC19 (283463)_damaging,elastic_net_reg
0,50,cin,RB1 (5925)_hotspot,elastic_net_reg
0,50,cin,SPG11 (80208)_damaging,elastic_net_reg
0,50,cin,PLCE1 (51196)_damaging,elastic_net_reg
0,50,cin,PDS5B (23047)_damaging,elastic_net_reg
0,50,cin,PITX1 (5307)_damaging,elastic_net_reg
