feature,n_folds_selected,mean_importance,mean_rank,rank_std,selection_freq,kind,gene
TP53 (7157)_damaging,5,0.08954821434920397,1.0,0.0,1.0,damaging,TP53
BRAF (673)_hotspot,5,0.023606027643830192,2.0,0.0,1.0,hotspot,BRAF
ID3 (3399)_damaging,5,0.020691540758536596,3.0,0.0,1.0,damaging,ID3
TERT (7015)_hotspot,5,0.01755589776648505,4.2,0.44721359549995787,1.0,hotspot,TERT
PIK3CA (5290)_hotspot,5,0.013263124573787973,6.0,1.224744871391589,1.0,hotspot,PIK3CA
RB1 (5925)_damaging,5,0.010110932882417403,11.8,5.449770637375485,1.0,damaging,RB1
RAD50 (10111)_damaging,5,0.0102435602055485,12.0,6.363961030678928,1.0,damaging,RAD50
CMYA5 (202333)_damaging,5,0.010037555596229649,15.0,11.022703842524301,1.0,damaging,CMYA5
FHOD3 (80206)_damaging,4,0.007536709563410497,21.25,7.804912982645397,0.8,damaging,FHOD3
KRAS (3845)_hotspot,4,0.00667786445799948,30.2,20.620378270051205,0.8,hotspot,KRAS
CREBBP (1387)_damaging,4,0.006863604358479661,32.4,20.501219475923865,0.8,damaging,CREBBP
KALRN (8997)_damaging,4,0.006037538125572594,33.8,20.0174923504419,0.8,damaging,KALRN
LRP1B (53353)_damaging,4,0.005957184670616569,34.6,19.81918262693999,0.8,damaging,LRP1B
ABCA9 (10350)_damaging,4,0.00845206583620195,34.8,52.92164018622249,0.8,damaging,ABCA9
SIN3A (25942)_damaging,4,0.007242167369306151,38.2,45.29569515969481,0.8,damaging,SIN3A
BCOR (54880)_damaging,4,0.005936244035997213,38.8,28.16380656090366,0.8,damaging,BCOR
ASXL1 (171023)_damaging,4,0.006451994835249132,50.6,61.8247523246151,0.8,damaging,ASXL1
KNOP1 (400506)_damaging,4,0.00614692507608854,53.0,73.11292635368933,0.8,damaging,KNOP1
GNA13 (10672)_damaging,4,0.0051213432656820185,53.2,52.69440197971697,0.8,damaging,GNA13
KIF5A (3798)_damaging,3,0.00672575040242895,28.333333333333332,14.011899704655802,0.6,damaging,KIF5A
ZNF536 (9745)_damaging,3,0.005825856505154061,36.0,17.644640357154728,0.6,damaging,ZNF536
PITRM1 (10531)_damaging,3,0.005398086230665905,37.25,16.700798384109266,0.6,damaging,PITRM1
TTN (7273)_damaging,3,0.0055219349770355315,43.8,35.898467933882635,0.6,damaging,TTN
BAP1 (8314)_damaging,3,0.005516519193342664,47.4,28.875595231960155,0.6,damaging,BAP1
PITX1 (5307)_damaging,3,0.00531883991374139,47.6,41.2165015497434,0.6,damaging,PITX1
IRF8 (3394)_damaging,3,0.005432006836644038,53.5,61.948903676067324,0.6,damaging,IRF8
QKI (9444)_damaging,3,0.004070708013973472,56.8,36.61557045848119,0.6,damaging,QKI
STK11 (6794)_damaging,3,0.0053027388352191954,57.0,60.56401571890689,0.6,damaging,STK11
NUP214 (8021)_damaging,3,0.006028276298607503,60.2,62.87050182716852,0.6,damaging,NUP214
DGKH (160851)_damaging,3,0.006269613943621586,61.8,69.30512246580335,0.6,damaging,DGKH
MTOR (2475)_hotspot,3,0.004332594177361722,63.2,52.17949788949679,0.6,hotspot,MTOR
SPAG8 (26206)_damaging,3,0.003416482304155315,69.2,39.34717270656177,0.6,damaging,SPAG8
CTCF (10664)_damaging,3,0.004872640448368872,77.6,76.46110122147078,0.6,damaging,CTCF
CAMTA2 (23125)_damaging,2,0.009867342840298669,11.0,5.656854249492381,0.4,damaging,CAMTA2
PPP2R1A (5518)_damaging,2,0.009801319623382432,11.5,2.1213203435596424,0.4,damaging,PPP2R1A
CEP170B (283638)_damaging,2,0.008718642139714345,16.5,3.5355339059327378,0.4,damaging,CEP170B
KIAA1217 (56243)_damaging,2,0.005589572056417467,34.0,4.242640687119285,0.4,damaging,KIAA1217
IQUB (154865)_damaging,2,0.00588095415738105,37.0,20.074859899884732,0.4,damaging,IQUB
SLC27A6 (28965)_damaging,2,0.005299615490299416,38.5,3.5355339059327378,0.4,damaging,SLC27A6
TERT (7015)_damaging,2,0.0039059603831941366,55.0,20.808652046684813,0.4,damaging,TERT
FASTKD5 (60493)_damaging,2,0.0038158564184037,61.8,23.220680437919988,0.4,damaging,FASTKD5
KMT2A (4297)_damaging,2,0.00362371965427903,68.2,44.25720280361153,0.4,damaging,KMT2A
NFE2L2 (4780)_hotspot,2,0.0034977921465713475,68.2,34.53548899320813,0.4,hotspot,NFE2L2
PLCE1 (51196)_damaging,2,0.00369101707994286,71.8,53.72801876116409,0.4,damaging,PLCE1
PDS5B (23047)_damaging,2,0.00404477071110922,73.2,58.997457572339506,0.4,damaging,PDS5B
TMEM245 (23731)_damaging,2,0.004418175989206069,75.6,56.51371514951039,0.4,damaging,TMEM245
ARHGEF28 (64283)_damaging,2,0.0038830010787751163,75.8,58.508119094703424,0.4,damaging,ARHGEF28
CEP126 (57562)_damaging,2,0.003607200116955087,83.0,62.42996075603444,0.4,damaging,CEP126
PTPRB (5787)_damaging,2,0.0032779627161524487,84.8,61.70251210445163,0.4,damaging,PTPRB
ECT2L (345930)_damaging,2,0.0029440061679408746,85.2,53.429392659845945,0.4,damaging,ECT2L
SIPA1L3 (23094)_damaging,2,0.0025746343997781807,90.75,53.26271366224844,0.4,damaging,SIPA1L3
SMARCB1 (6598)_damaging,2,0.0025829334307656228,92.25,54.033168825577256,0.4,damaging,SMARCB1
MT-ND4 (4538)_damaging,2,0.0028872967079091494,93.6,72.9163904756674,0.4,damaging,MT-ND4
SMAD4 (4089)_hotspot,2,0.002548074752557853,93.6,52.865868005736935,0.4,hotspot,SMAD4
PPIG (9360)_damaging,2,0.00287500125335476,97.25,71.85807771805014,0.4,damaging,PPIG
PTPRC (5788)_damaging,2,0.0027126710510676907,100.0,65.01922792528376,0.4,damaging,PTPRC
ROBO2 (6092)_damaging,2,0.0029221161796048794,111.6,80.21408853811155,0.4,damaging,ROBO2
RB1 (5925)_hotspot,2,0.002520198085753292,112.8,76.16232664513342,0.4,hotspot,RB1
WDR7 (23335)_damaging,1,0.012544357935190268,8.0,,0.2,damaging,WDR7
VIT (5212)_damaging,1,0.009493369109252584,12.0,,0.2,damaging,VIT
FIP1L1 (81608)_damaging,1,0.0056138335006331265,34.0,,0.2,damaging,FIP1L1
CCDC40 (55036)_damaging,1,0.0053068415261110355,37.5,20.506096654409877,0.2,damaging,CCDC40
CNTN3 (5067)_damaging,1,0.00490408457530713,38.0,,0.2,damaging,CNTN3
MYC (4609)_hotspot,1,0.00440042831387446,43.0,,0.2,hotspot,MYC
DIDO1 (11083)_damaging,1,0.003788320326895482,61.333333333333336,18.475208614068023,0.2,damaging,DIDO1
DOT1L (84444)_damaging,1,0.0034289766588262247,65.0,21.79449471770337,0.2,damaging,DOT1L
KANSL1 (284058)_damaging,1,0.004255387326587195,65.75,36.94477861168837,0.2,damaging,KANSL1
MARF1 (9665)_damaging,1,0.003210251421147186,73.5,40.30508652763321,0.2,damaging,MARF1
TENM4 (26011)_damaging,1,0.0029513950773449532,78.4,34.67419789987939,0.2,damaging,TENM4
PMS2 (5395)_damaging,1,0.002933705575381801,84.8,45.756966682681224,0.2,damaging,PMS2
CHEK2 (11200)_damaging,1,0.0030181107465737274,85.0,60.09991680526688,0.2,damaging,CHEK2
PPP6R2 (9701)_damaging,1,0.0033783813337577968,92.4,59.643105217619244,0.2,damaging,PPP6R2
ZGRF1 (55345)_damaging,1,0.003379236895936788,93.0,100.40916292848975,0.2,damaging,ZGRF1
