feature,n_folds_selected,mean_importance,mean_rank,rank_std,selection_freq,kind,gene
TP53 (7157)_damaging,5,0.31715302493258324,1.0,0.0,1.0,damaging,TP53
BRAF (673)_hotspot,5,0.0636421248174707,2.0,0.0,1.0,hotspot,BRAF
ID3 (3399)_damaging,5,0.04051558448271154,3.0,0.0,1.0,damaging,ID3
KRAS (3845)_hotspot,5,0.02294734188662446,4.8,1.3038404810405297,1.0,hotspot,KRAS
PIK3CA (5290)_hotspot,5,0.018675347080726146,6.0,1.5811388300841898,1.0,hotspot,PIK3CA
TERT (7015)_hotspot,5,0.016599714262492488,7.8,2.588435821108957,1.0,hotspot,TERT
RB1 (5925)_damaging,5,0.014677944921329908,8.8,3.8987177379235853,1.0,damaging,RB1
SLK (9748)_damaging,5,0.01142815250951044,11.6,2.3021728866442674,1.0,damaging,SLK
TP53 (7157)_hotspot,5,0.01230235954270444,13.6,7.893034904268446,1.0,hotspot,TP53
TTN (7273)_damaging,5,0.009234727832972587,15.0,3.391164991562634,1.0,damaging,TTN
VHL (7428)_damaging,5,0.009421601058393186,15.0,3.082207001484488,1.0,damaging,VHL
PDS5B (23047)_damaging,5,0.010772918158743625,15.2,8.5848704125339,1.0,damaging,PDS5B
BAP1 (8314)_damaging,5,0.010256857576926267,15.8,6.496152707564686,1.0,damaging,BAP1
RAD50 (10111)_damaging,5,0.00955592151248684,16.2,6.572670690061994,1.0,damaging,RAD50
LINC02900 (340073)_damaging,5,0.00812896811249957,18.8,5.06951674225463,1.0,damaging,LINC02900
PTEN (5728)_damaging,5,0.007197657959461215,21.6,4.219004621945798,1.0,damaging,PTEN
SIN3A (25942)_damaging,5,0.00865289085269845,21.6,13.315404612703288,1.0,damaging,SIN3A
KMT2B (9757)_damaging,5,0.006892612294990162,22.4,9.07193474403338,1.0,damaging,KMT2B
NRAS (4893)_hotspot,5,0.006637759047423503,22.8,3.96232255123179,1.0,hotspot,NRAS
LRP1B (53353)_damaging,5,0.0069162812014476275,23.6,8.96102672688794,1.0,damaging,LRP1B
NF2 (4771)_damaging,5,0.007668014163580447,23.6,10.96813566655701,1.0,damaging,NF2
ARID1A (8289)_damaging,5,0.006280058071472391,23.8,1.6431676725154984,1.0,damaging,ARID1A
TYRO3 (7301)_damaging,5,0.0053476142169388155,27.6,5.727128425310542,1.0,damaging,TYRO3
NF1 (4763)_damaging,5,0.005454489376263752,28.6,9.370165420097983,1.0,damaging,NF1
CDKN2A (1029)_damaging,5,0.005266459023406286,29.4,6.58027355054484,1.0,damaging,CDKN2A
LINC02138 (400558)_damaging,5,0.005431644394588928,31.0,7.968688725254614,1.0,damaging,LINC02138
KMT2D (8085)_damaging,5,0.0044626083091780875,35.0,4.472135954999579,1.0,damaging,KMT2D
SMARCA4 (6597)_damaging,5,0.0036604335268537215,42.8,2.3874672772626644,1.0,damaging,SMARCA4
ASXL1 (171023)_damaging,4,0.010357289221117377,21.6,24.378269011560274,0.8,damaging,ASXL1
DGKH (160851)_damaging,4,0.008377371169730998,24.4,19.03417978269618,0.8,damaging,DGKH
CREBBP (1387)_damaging,4,0.010514414164719422,26.2,25.781776509775273,0.8,damaging,CREBBP
BCOR (54880)_damaging,4,0.007762635715760471,31.0,34.285565475867536,0.8,damaging,BCOR
SYNE1 (23345)_damaging,4,0.004442440248322933,36.4,12.856904759700138,0.8,damaging,SYNE1
BRCA2 (675)_damaging,4,0.004290168180192128,42.6,23.028243528328424,0.8,damaging,BRCA2
RPL22 (6146)_damaging,4,0.004332023398612111,44.8,26.508489206290125,0.8,damaging,RPL22
PBRM1 (55193)_damaging,4,0.003377562460608531,48.2,13.917614738165446,0.8,damaging,PBRM1
CMYA5 (202333)_damaging,4,0.003683420982487866,64.4,66.36113320310315,0.8,damaging,CMYA5
SDHA (6389)_damaging,3,0.004595651494465456,44.0,18.35755975068582,0.6,damaging,SDHA
PCLO (27445)_damaging,3,0.004090676802904035,44.2,15.738487856207787,0.6,damaging,PCLO
EZH2 (2146)_hotspot,3,0.0046217722119644465,44.25,23.683679331275084,0.6,hotspot,EZH2
JAKMIP3 (282973)_damaging,3,0.0033565563050324348,45.2,7.758865896508329,0.6,damaging,JAKMIP3
KNOP1 (400506)_damaging,3,0.005037421750773763,49.2,39.092198710228615,0.6,damaging,KNOP1
EP300 (2033)_damaging,3,0.0036736149591695432,49.6,21.054690688775267,0.6,damaging,EP300
HLA-A (3105)_damaging,3,0.003314559198867044,49.6,17.924843095547587,0.6,damaging,HLA-A
PTEN (5728)_hotspot,3,0.002930274514181278,57.6,27.546324618721822,0.6,hotspot,PTEN
TET2 (54790)_damaging,3,0.0029213447110576626,64.8,39.713977388320096,0.6,damaging,TET2
ABCA9 (10350)_damaging,3,0.0030418022666048117,161.2,250.53183430454501,0.6,damaging,ABCA9
FSIP2 (401024)_damaging,2,0.002932314894616859,53.8,9.338094023943002,0.4,damaging,FSIP2
EP400 (57634)_damaging,2,0.002929024402132073,56.6,14.842506526863984,0.4,damaging,EP400
COL7A1 (1294)_damaging,2,0.003292364910103944,59.2,28.03034070431539,0.4,damaging,COL7A1
CCDST (112268240)_damaging,2,0.0027586221688336134,60.6,27.134848442547085,0.4,damaging,CCDST
BLTP1 (84162)_damaging,2,0.002722418372687922,61.2,24.221890925359236,0.4,damaging,BLTP1
MUC19 (283463)_damaging,2,0.0028905732248922867,62.6,35.64828186603108,0.4,damaging,MUC19
MGA (23269)_damaging,2,0.0026179314389495182,63.0,22.726636354727024,0.4,damaging,MGA
GNA13 (10672)_damaging,2,0.0026718235817140084,63.2,22.353970564532826,0.4,damaging,GNA13
STAG2 (10735)_damaging,2,0.002659799204336823,63.8,28.490349243208655,0.4,damaging,STAG2
HERC1 (8925)_damaging,2,0.00286163138549074,73.0,43.16827538829875,0.4,damaging,HERC1
CEP126 (57562)_damaging,2,0.002203114617504462,109.4,82.2180028947432,0.4,damaging,CEP126
MYC (4609)_hotspot,1,0.004870162402806659,31.0,,0.2,hotspot,MYC
MUC2 (4583)_damaging,1,0.0032737742947311532,47.0,,0.2,damaging,MUC2
MUC4 (4585)_damaging,1,0.00262016507408577,59.0,9.246621004453464,0.2,damaging,MUC4
SPATA22 (84690)_damaging,1,0.0026421514355359976,61.0,16.73320053068151,0.2,damaging,SPATA22
STK11 (6794)_damaging,1,0.002725853528236631,62.6,24.84552273549502,0.2,damaging,STK11
KDM6A (7403)_damaging,1,0.0023410788278277394,66.8,19.123284236762263,0.2,damaging,KDM6A
MUC16 (94025)_damaging,1,0.0023255610389077675,67.8,19.954949260772377,0.2,damaging,MUC16
MYRF (745)_damaging,1,0.002059056189734485,94.0,64.64518543557594,0.2,damaging,MYRF
PITX1 (5307)_damaging,1,0.001736407890682034,94.2,40.75168708164117,0.2,damaging,PITX1
FBN1 (2200)_damaging,1,0.0018466931717672798,94.6,41.644927662321614,0.2,damaging,FBN1
QKI (9444)_damaging,1,0.0019157321033904796,99.0,60.79884867330959,0.2,damaging,QKI
NUP214 (8021)_damaging,1,0.001674776404001865,108.6,55.91779680924491,0.2,damaging,NUP214
GOLGA4 (2803)_damaging,1,0.0017640895976066956,108.8,60.569794452350585,0.2,damaging,GOLGA4
DDX3X (1654)_damaging,1,0.001759111952692402,115.8,61.385666079305516,0.2,damaging,DDX3X
ABCA12 (26154)_damaging,1,0.002245323052781187,120.4,138.73824274510616,0.2,damaging,ABCA12
PRKDC (5591)_damaging,1,0.0014194454918574268,128.2,85.27133164200029,0.2,damaging,PRKDC
FASN (2194)_damaging,1,0.0011412539506453548,146.0,57.73214009544424,0.2,damaging,FASN
LARP1 (23367)_damaging,1,0.001390923006479357,152.6,98.98131136734852,0.2,damaging,LARP1
ZNF106 (64397)_damaging,1,0.0013256033744326486,182.0,140.53113534018004,0.2,damaging,ZNF106
ADGRL2 (23266)_damaging,1,0.0013943546796731125,198.4,165.90750435106906,0.2,damaging,ADGRL2
LARP4B (23185)_damaging,1,0.0015674666006652773,202.2,263.1429269427548,0.2,damaging,LARP4B
ROBO2 (6092)_damaging,1,0.0012241004827826046,311.0,258.74698065871223,0.2,damaging,ROBO2
CDKN2A (1029)_hotspot,0,0.002412708183795781,62.6,4.393176527297759,0.0,hotspot,CDKN2A
KMT2C (58508)_damaging,0,0.002413801132182122,63.8,9.808159868191382,0.0,damaging,KMT2C
NFE2L2 (4780)_hotspot,0,0.002381602526972661,70.0,28.89636655359978,0.0,hotspot,NFE2L2
RYR2 (6262)_damaging,0,0.0021050662049734974,73.4,12.778888840583909,0.0,damaging,RYR2
FIP1L1 (81608)_damaging,0,0.0017768935996054476,79.0,,0.0,damaging,FIP1L1
SPANXN4 (441525)_damaging,0,0.0019244207459578715,79.0,10.723805294763608,0.0,damaging,SPANXN4
SPTBN5 (51332)_damaging,0,0.001720011414821545,88.6,26.159128425847832,0.0,damaging,SPTBN5
BRWD1 (54014)_damaging,0,0.001842557638409328,92.0,44.73812691653507,0.0,damaging,BRWD1
APC (324)_damaging,0,0.0016069262646678552,96.4,36.7464283978729,0.0,damaging,APC
CSMD3 (114788)_damaging,0,0.0014450176103800662,99.2,27.086897201414562,0.0,damaging,CSMD3
ATR (545)_damaging,0,0.0015277283221346593,102.0,35.61600763701625,0.0,damaging,ATR
FCGBP (8857)_damaging,0,0.0014261133739260686,104.2,25.713809519400275,0.0,damaging,FCGBP
CTNNB1 (1499)_hotspot,0,0.0012855603415591835,106.0,19.45507645834372,0.0,hotspot,CTNNB1
SMAD4 (4089)_damaging,0,0.0012817481662381874,108.2,18.19890106572372,0.0,damaging,SMAD4
OBSCN (84033)_damaging,0,0.0015412653482160827,109.0,51.95190083144215,0.0,damaging,OBSCN
ZNF729 (100287226)_damaging,0,0.0012177071198221437,110.8,27.23416971379888,0.0,damaging,ZNF729
NEB (4703)_damaging,0,0.0012948694500894337,113.0,36.776351096866584,0.0,damaging,NEB
NOTCH1 (4851)_damaging,0,0.0011607080600843627,116.4,27.10719461692781,0.0,damaging,NOTCH1
RHBDF2 (79651)_damaging,0,0.0010876375696881766,116.5,19.091883092036785,0.0,damaging,RHBDF2
SMARCB1 (6598)_damaging,0,0.001573724382612647,119.25,85.90062087474494,0.0,damaging,SMARCB1
BCORL1 (63035)_damaging,0,0.0010873655702340237,121.8,27.64416755845616,0.0,damaging,BCORL1
FBXW7 (55294)_damaging,0,0.0010977507405108928,124.8,34.21549356651165,0.0,damaging,FBXW7
SMAD4 (4089)_hotspot,0,0.0011571225338380994,126.2,49.706136442093346,0.0,hotspot,SMAD4
PEG3 (5178)_damaging,0,0.0015779235352471727,126.6,83.05901516391825,0.0,damaging,PEG3
BTAF1 (9044)_damaging,0,0.0010498519740244788,127.0,,0.0,damaging,BTAF1
FN1 (2335)_damaging,0,0.0012133697486200125,127.8,50.74150175152485,0.0,damaging,FN1
ATP13A5 (344905)_damaging,0,0.0013264668433646458,129.66666666666666,79.50052410728708,0.0,damaging,ATP13A5
MACF1 (23499)_damaging,0,0.0011223416567413842,130.8,58.84471089231385,0.0,damaging,MACF1
FAT1 (2195)_damaging,0,0.000900511900541599,132.6,22.744230037528197,0.0,damaging,FAT1
PIK3R1 (5295)_damaging,0,0.0013069444558121413,133.6,95.88691255849257,0.0,damaging,PIK3R1
IRF8 (3394)_damaging,0,0.0013147202239012427,134.0,87.79521627059188,0.0,damaging,IRF8
MSH3 (4437)_damaging,0,0.001311008038250919,137.0,105.5533040695553,0.0,damaging,MSH3
CELSR3 (1951)_damaging,0,0.0008838161757286276,137.4,28.970674828177547,0.0,damaging,CELSR3
ZFHX4 (79776)_damaging,0,0.0009714814673875928,138.4,52.56709997707692,0.0,damaging,ZFHX4
ESCO1 (114799)_damaging,0,0.000764881338952948,140.0,,0.0,damaging,ESCO1
BLTP3B (23074)_damaging,0,0.0012902977209158562,142.0,105.55567251455508,0.0,damaging,BLTP3B
HMCN1 (83872)_damaging,0,0.0010309712054756644,142.0,54.8270006474912,0.0,damaging,HMCN1
SPAG8 (26206)_damaging,0,0.000801138814272356,144.8,24.99399927982715,0.0,damaging,SPAG8
