roc_auc,pr_auc,balanced_accuracy,sensitivity,specificity,f1,brier,n_test,positive_rate,threshold,fold,panel_size,target,model,n_genes,n_sig
0.8140186146116465,0.8834778892245794,0.7410427477143563,0.7276995305164319,0.7543859649122807,0.7828282828282829,0.18682381238001877,327,0.6513761467889908,0.478,0,all,wgd,logistic_l1,1415,96
0.8002635697224282,0.8676314815185026,0.71725969854213,0.6713615023474179,0.7631578947368421,0.7467362924281984,0.19077131949137605,327,0.6513761467889908,0.5,0,10,wgd,logistic_l1,7,3
0.802734535870192,0.8684755752083081,0.7272671114405733,0.7089201877934272,0.7456140350877193,0.7684478371501272,0.19098023880602494,327,0.6513761467889908,0.445,0,20,wgd,logistic_l1,12,8
0.7879499217527387,0.8564160319761572,0.7249196936001976,0.704225352112676,0.7456140350877193,0.7653061224489796,0.197628497241054,327,0.6513761467889908,0.449,0,30,wgd,logistic_l1,20,10
0.8065561510656861,0.8498751883007256,0.7490755743902946,0.7370892018779343,0.7610619469026548,0.7909319899244333,0.1748884490500852,326,0.6533742331288344,0.537,1,all,wgd,logistic_l1,1356,96
0.8090074369520962,0.8605430350738882,0.7274917944243633,0.755868544600939,0.6991150442477876,0.7892156862745098,0.1720869650776416,326,0.6533742331288344,0.532,1,10,wgd,logistic_l1,5,5
0.7839544642486185,0.838287978185899,0.7006730649383024,0.7464788732394366,0.6548672566371682,0.7737226277372263,0.18147828884910316,326,0.6533742331288344,0.538,1,20,wgd,logistic_l1,12,8
0.7781378536706968,0.8198944518518707,0.7082554322988076,0.7793427230046949,0.6371681415929203,0.7904761904761904,0.18233547940786626,326,0.6533742331288344,0.521,1,30,wgd,logistic_l1,20,10
0.7551622418879056,0.8208357226353531,0.6803564751339898,0.7323943661971831,0.6283185840707964,0.7591240875912408,0.20047120049772055,326,0.6533742331288344,0.453,2,all,wgd,logistic_l1,1402,96
0.738667996177656,0.8295071035641076,0.67088370933566,0.6338028169014085,0.7079646017699115,0.7086614173228346,0.2106315258920756,326,0.6533742331288344,0.572,2,10,wgd,logistic_l1,6,4
0.74261498192696,0.8294959329580819,0.6671652332876314,0.812206572769953,0.5221238938053098,0.7863636363636364,0.208094225987508,326,0.6533742331288344,0.369,2,20,wgd,logistic_l1,9,11
0.7458556649632307,0.8258324740599995,0.690660185300594,0.6291079812206573,0.7522123893805309,0.7146666666666667,0.20728380693890938,326,0.6533742331288344,0.602,2,30,wgd,logistic_l1,16,14
0.8077610203996843,0.8719849427482926,0.7691221072749179,0.7417840375586855,0.7964601769911505,0.8020304568527918,0.18320415378795465,326,0.6533742331288344,0.488,3,all,wgd,logistic_l1,1277,96
0.7802567618097968,0.8549522018286584,0.7131372304624206,0.7183098591549296,0.7079646017699115,0.7669172932330827,0.19117692617921642,326,0.6533742331288344,0.511,3,10,wgd,logistic_l1,4,6
0.7955876854044623,0.8704103729306791,0.7301092691844281,0.7699530516431925,0.6902654867256637,0.7961165048543689,0.18943469504655963,326,0.6533742331288344,0.42,3,20,wgd,logistic_l1,11,9
0.8001578794299721,0.8735201042474954,0.7479953467115377,0.6995305164319249,0.7964601769911505,0.7740259740259741,0.18715398878461517,326,0.6533742331288344,0.543,3,30,wgd,logistic_l1,17,13
0.7706471367096988,0.8323412448189302,0.677341939755048,0.6792452830188679,0.6754385964912281,0.732824427480916,0.19093200480218564,326,0.6503067484662577,0.537,4,all,wgd,logistic_l1,1380,96
0.7557927838464086,0.8287374922402363,0.6998924197285668,0.7594339622641509,0.6403508771929824,0.7777777777777778,0.19487610448291065,326,0.6503067484662577,0.5,4,10,wgd,logistic_l1,6,4
0.7347732538894405,0.7957469693103805,0.6638116517709367,0.7311320754716981,0.5964912280701754,0.7506053268765133,0.20622836252223284,326,0.6503067484662577,0.469,4,20,wgd,logistic_l1,11,9
0.7300148957298909,0.7961900287922761,0.6648460774577953,0.6981132075471698,0.631578947368421,0.736318407960199,0.20826039082834888,326,0.6503067484662577,0.532,4,30,wgd,logistic_l1,18,12
0.7572572198114619,0.7072768731797964,0.7096925033667515,0.7791411042944786,0.6402439024390244,0.7277936962750716,0.2019544099406498,327,0.4984709480122324,0.483,0,all,cin,logistic_l1,1395,96
0.7482418075714499,0.7017094409486658,0.679167290139159,0.7668711656441718,0.5914634146341463,0.704225352112676,0.2039861933034901,327,0.4984709480122324,0.465,0,10,cin,logistic_l1,4,6
0.7490647912614095,0.7018461649260247,0.7065689061798593,0.754601226993865,0.6585365853658537,0.7192982456140351,0.20345634858331968,327,0.4984709480122324,0.481,0,20,cin,logistic_l1,10,10
0.7632425557384408,0.7072652669557267,0.7002281909322161,0.6748466257668712,0.725609756097561,0.6918238993710691,0.19981082447704107,327,0.4984709480122324,0.529,0,30,cin,logistic_l1,18,12
0.7492566524897437,0.7141702563555274,0.6748466257668712,0.6993865030674846,0.6503067484662577,0.6826347305389222,0.20399197397590868,326,0.5,0.472,1,all,cin,logistic_l1,1380,96
0.74703601942113,0.7144075456649919,0.696319018404908,0.7300613496932515,0.6625766871165644,0.7062314540059347,0.20354441762348466,326,0.5,0.468,1,10,cin,logistic_l1,4,6
0.7480898791825059,0.73178532899174,0.6809815950920245,0.6809815950920245,0.6809815950920245,0.6809815950920245,0.2054635142859182,326,0.5,0.519,1,20,cin,logistic_l1,10,10
0.739094433362189,0.7163530170986736,0.6748466257668712,0.6319018404907976,0.7177914110429447,0.6602564102564102,0.21150132215456213,326,0.5,0.547,1,30,cin,logistic_l1,16,14
0.7414279799766645,0.7390234152286014,0.656441717791411,0.7791411042944786,0.5337423312883436,0.6939890710382514,0.20603463753567902,326,0.5,0.442,2,all,cin,logistic_l1,1469,96
0.7046934397229854,0.6885551274515307,0.6411042944785276,0.7730061349693251,0.50920245398773,0.6829268292682927,0.2206622453037199,326,0.5,0.413,2,10,cin,logistic_l1,3,7
0.7338627724039294,0.7307968279483503,0.6533742331288344,0.7607361963190185,0.5460122699386503,0.6869806094182825,0.21136399595344016,326,0.5,0.429,2,20,cin,logistic_l1,9,11
0.7157213293688133,0.7102371457796235,0.6687116564417178,0.7607361963190185,0.5766871165644172,0.6966292134831461,0.2203723811538484,326,0.5,0.429,2,30,cin,logistic_l1,15,15
0.7383416763897774,0.6837918892533968,0.7147239263803681,0.7361963190184049,0.6932515337423313,0.7207207207207207,0.20603585283107465,326,0.5,0.531,3,all,cin,logistic_l1,1220,96
0.7113929767774474,0.6631704143912527,0.656441717791411,0.7423312883435583,0.5705521472392638,0.6836158192090396,0.2197224337079594,326,0.5,0.5,3,10,cin,logistic_l1,6,4
0.7114306146260679,0.6807084883992007,0.6717791411042944,0.6441717791411042,0.6993865030674846,0.6624605678233438,0.22041156256577407,326,0.5,0.558,3,20,cin,logistic_l1,13,7
0.7270126839549852,0.6739380655115373,0.6840490797546013,0.7116564417177914,0.656441717791411,0.6925373134328359,0.2173417683288475,326,0.5,0.513,3,30,cin,logistic_l1,20,10
0.7446928635953027,0.692973255070927,0.6646341463414633,0.8292682926829268,0.5,0.7139107611548556,0.20394559394073133,326,0.5030674846625767,0.423,4,all,cin,logistic_l1,1345,96
0.7498494429388739,0.7069807213023578,0.7015959048479374,0.8414634146341463,0.5617283950617284,0.739946380697051,0.20246390440866277,326,0.5030674846625767,0.421,4,10,cin,logistic_l1,3,7
0.7495483288166216,0.7115393795429861,0.7049834387232761,0.7926829268292683,0.6172839506172839,0.7303370786516854,0.2035508160105706,326,0.5030674846625767,0.465,4,20,cin,logistic_l1,10,10
0.7244052996085517,0.6763868381957137,0.6775067750677507,0.7439024390243902,0.6111111111111112,0.6991404011461319,0.21627761776841067,326,0.5030674846625767,0.483,4,30,cin,logistic_l1,18,12
0.761559180008978,0.7464651643793296,0.6944298967529552,0.7730061349693251,0.6158536585365854,0.7159090909090909,0.1985257525424597,327,0.4984709480122324,0.425,0,all,loh,logistic_l1,1368,96
0.7279477779440371,0.7246502434416441,0.6726769414933413,0.6380368098159509,0.7073170731707317,0.6603174603174603,0.2123655539964736,327,0.4984709480122324,0.507,0,10,loh,logistic_l1,5,5
0.7382911865928475,0.736294522232476,0.6697403860541673,0.6748466257668712,0.6646341463414634,0.6707317073170732,0.2117564489454233,327,0.4984709480122324,0.459,0,20,loh,logistic_l1,12,8
0.7592398623372737,0.7401744133909434,0.6727330540176567,0.656441717791411,0.6890243902439024,0.6666666666666666,0.20515601629507377,327,0.4984709480122324,0.48,0,30,loh,logistic_l1,18,12
0.7474123979073355,0.7426647000076269,0.6687116564417177,0.6932515337423313,0.6441717791411042,0.6766467065868264,0.20396202454995013,326,0.5,0.508,1,all,loh,logistic_l1,1404,96
0.7415785313711468,0.7212806808700206,0.6503067484662577,0.588957055214724,0.7116564417177914,0.6274509803921569,0.20669288318842147,326,0.5,0.561,1,10,loh,logistic_l1,4,6
0.7372878166284016,0.7285139708266919,0.665644171779141,0.6196319018404908,0.7116564417177914,0.6495176848874598,0.2096514148267737,326,0.5,0.562,1,20,loh,logistic_l1,10,10
0.7571606007000639,0.7420723663269471,0.6993865030674846,0.6932515337423313,0.7055214723926381,0.6975308641975309,0.2038148130012056,326,0.5,0.543,1,30,loh,logistic_l1,16,14
0.7955888441416689,0.7767984276284411,0.7177914110429449,0.6871165644171779,0.7484662576687117,0.7088607594936709,0.18637711635259727,326,0.5,0.559,2,all,loh,logistic_l1,1461,96
0.7620158831721179,0.7555753946771508,0.6748466257668712,0.656441717791411,0.6932515337423313,0.66875,0.19901183159483618,326,0.5,0.561,2,10,loh,logistic_l1,3,7
0.7742105461251834,0.7722938992000354,0.696319018404908,0.7607361963190185,0.6319018404907976,0.7146974063400576,0.19407484836423383,326,0.5,0.499,2,20,loh,logistic_l1,9,11
0.7707478640520908,0.7604515436047082,0.6901840490797546,0.6993865030674846,0.6809815950920245,0.6930091185410334,0.1961418348360848,326,0.5,0.538,2,30,loh,logistic_l1,18,12
