fold,target,feature
0,wgd,TP53 (7157)_damaging
0,wgd,TP53 (7157)_hotspot
0,wgd,TERT (7015)_hotspot
0,wgd,BRAF (673)_hotspot
0,wgd,ID3 (3399)_damaging
0,wgd,KRAS (3845)_hotspot
0,wgd,CREBBP (1387)_damaging
0,wgd,TTN (7273)_damaging
0,wgd,LRP1B (53353)_damaging
0,wgd,APC (324)_damaging
0,wgd,CCND3 (896)_damaging
0,wgd,CSMD1 (64478)_damaging
0,wgd,BCOR (54880)_damaging
0,wgd,CDKN2A (1029)_damaging
0,wgd,RB1 (5925)_damaging
0,wgd,MTOR (2475)_hotspot
0,wgd,KMT2D (8085)_damaging
0,wgd,MUC16 (94025)_damaging
0,wgd,GNA13 (10672)_damaging
0,wgd,PITX1 (5307)_damaging
1,wgd,TP53 (7157)_damaging
1,wgd,TP53 (7157)_hotspot
1,wgd,BRAF (673)_hotspot
1,wgd,TERT (7015)_hotspot
1,wgd,CREBBP (1387)_damaging
1,wgd,KRAS (3845)_hotspot
1,wgd,ID3 (3399)_damaging
1,wgd,LRP1B (53353)_damaging
1,wgd,RB1 (5925)_damaging
1,wgd,BCOR (54880)_damaging
1,wgd,TTN (7273)_damaging
1,wgd,APC (324)_damaging
1,wgd,NRAS (4893)_hotspot
1,wgd,CDKN2A (1029)_damaging
1,wgd,KMT2D (8085)_damaging
1,wgd,DGKH (160851)_damaging
1,wgd,FAT1 (2195)_damaging
1,wgd,ARID1A (8289)_damaging
1,wgd,NF1 (4763)_damaging
1,wgd,GNA13 (10672)_damaging
2,wgd,TP53 (7157)_damaging
2,wgd,TP53 (7157)_hotspot
2,wgd,TERT (7015)_hotspot
2,wgd,BRAF (673)_hotspot
2,wgd,ID3 (3399)_damaging
2,wgd,LRP1B (53353)_damaging
2,wgd,RB1 (5925)_damaging
2,wgd,PDS5B (23047)_damaging
2,wgd,GNA13 (10672)_damaging
2,wgd,RPL22 (6146)_damaging
2,wgd,RB1 (5925)_hotspot
2,wgd,CDKN2A (1029)_damaging
2,wgd,TTN (7273)_damaging
2,wgd,MTOR (2475)_hotspot
2,wgd,CREBBP (1387)_damaging
2,wgd,KMT2D (8085)_damaging
2,wgd,KRAS (3845)_hotspot
2,wgd,BCOR (54880)_damaging
2,wgd,CCND3 (896)_damaging
2,wgd,TNFAIP3 (7128)_damaging
3,wgd,TP53 (7157)_damaging
3,wgd,TP53 (7157)_hotspot
3,wgd,BRAF (673)_hotspot
3,wgd,TERT (7015)_hotspot
3,wgd,ID3 (3399)_damaging
3,wgd,TTN (7273)_damaging
3,wgd,APC (324)_damaging
3,wgd,BCOR (54880)_damaging
3,wgd,LRP1B (53353)_damaging
3,wgd,GNA13 (10672)_damaging
3,wgd,KRAS (3845)_hotspot
3,wgd,CREBBP (1387)_damaging
3,wgd,PITX1 (5307)_damaging
3,wgd,SMAD4 (4089)_damaging
3,wgd,FAT1 (2195)_damaging
3,wgd,KMT2D (8085)_damaging
3,wgd,PDS5B (23047)_damaging
3,wgd,STK11 (6794)_damaging
3,wgd,STAB2 (55576)_damaging
3,wgd,NF1 (4763)_damaging
4,wgd,TP53 (7157)_damaging
4,wgd,TP53 (7157)_hotspot
4,wgd,TERT (7015)_hotspot
4,wgd,BRAF (673)_hotspot
4,wgd,TTN (7273)_damaging
4,wgd,KRAS (3845)_hotspot
4,wgd,RB1 (5925)_damaging
4,wgd,ID3 (3399)_damaging
4,wgd,LRP1B (53353)_damaging
4,wgd,APC (324)_damaging
4,wgd,CREBBP (1387)_damaging
4,wgd,FAT1 (2195)_damaging
4,wgd,NRAS (4893)_hotspot
4,wgd,GNA13 (10672)_damaging
4,wgd,NF2 (4771)_damaging
4,wgd,RB1 (5925)_hotspot
4,wgd,MSH3 (4437)_damaging
4,wgd,CDKN2A (1029)_damaging
4,wgd,SMAD4 (4089)_damaging
4,wgd,PDS5B (23047)_damaging
0,cin,TP53 (7157)_damaging
0,cin,TP53 (7157)_hotspot
0,cin,BRAF (673)_hotspot
0,cin,TERT (7015)_hotspot
0,cin,RB1 (5925)_damaging
0,cin,ID3 (3399)_damaging
0,cin,PITX1 (5307)_damaging
0,cin,RB1 (5925)_hotspot
0,cin,PIK3CA (5290)_hotspot
0,cin,TTN (7273)_damaging
0,cin,NFE2L2 (4780)_hotspot
0,cin,TYRO3 (7301)_damaging
0,cin,SPTA1 (6708)_damaging
0,cin,STK11 (6794)_damaging
0,cin,SIN3A (25942)_damaging
0,cin,RYR2 (6262)_damaging
0,cin,APC (324)_hotspot
0,cin,SMAD4 (4089)_damaging
0,cin,MSH3 (4437)_damaging
0,cin,ASXL1 (171023)_damaging
1,cin,TP53 (7157)_damaging
1,cin,TP53 (7157)_hotspot
1,cin,RB1 (5925)_damaging
1,cin,ID3 (3399)_damaging
1,cin,TERT (7015)_hotspot
1,cin,BRAF (673)_hotspot
1,cin,ASXL1 (171023)_damaging
1,cin,TYRO3 (7301)_damaging
1,cin,CREBBP (1387)_damaging
1,cin,KRAS (3845)_hotspot
1,cin,LRP1B (53353)_damaging
1,cin,SIN3A (25942)_damaging
1,cin,PIK3CA (5290)_hotspot
1,cin,KMT2D (8085)_damaging
1,cin,PDS5B (23047)_damaging
1,cin,STK11 (6794)_damaging
1,cin,NRAS (4893)_hotspot
1,cin,SLFN11 (91607)_damaging
1,cin,BCOR (54880)_damaging
1,cin,NF1 (4763)_hotspot
2,cin,TP53 (7157)_damaging
2,cin,TP53 (7157)_hotspot
2,cin,TERT (7015)_hotspot
2,cin,RB1 (5925)_damaging
2,cin,BRAF (673)_hotspot
2,cin,ID3 (3399)_damaging
2,cin,KRAS (3845)_hotspot
2,cin,LRP1B (53353)_damaging
2,cin,NFE2L2 (4780)_hotspot
2,cin,PDS5B (23047)_damaging
2,cin,TTN (7273)_damaging
2,cin,SPTA1 (6708)_damaging
2,cin,NRAS (4893)_hotspot
2,cin,TYRO3 (7301)_damaging
2,cin,RAD50 (10111)_damaging
2,cin,DNAH8 (1769)_damaging
2,cin,RYR2 (6262)_damaging
2,cin,PITX1 (5307)_damaging
2,cin,SLK (9748)_damaging
2,cin,CREBBP (1387)_damaging
3,cin,TP53 (7157)_damaging
3,cin,TP53 (7157)_hotspot
3,cin,TERT (7015)_hotspot
3,cin,ID3 (3399)_damaging
3,cin,BRAF (673)_hotspot
3,cin,CREBBP (1387)_damaging
3,cin,RB1 (5925)_damaging
3,cin,PIK3CA (5290)_hotspot
3,cin,SLFN11 (91607)_damaging
3,cin,ASXL1 (171023)_damaging
3,cin,KRAS (3845)_hotspot
3,cin,RB1 (5925)_hotspot
3,cin,MUC19 (283463)_damaging
3,cin,TTN (7273)_damaging
3,cin,BCOR (54880)_damaging
3,cin,KALRN (8997)_damaging
3,cin,PITX1 (5307)_damaging
3,cin,APC (324)_damaging
3,cin,NFE2L2 (4780)_hotspot
3,cin,LRP1B (53353)_damaging
4,cin,TP53 (7157)_damaging
4,cin,TP53 (7157)_hotspot
4,cin,RB1 (5925)_damaging
4,cin,TERT (7015)_hotspot
4,cin,ID3 (3399)_damaging
4,cin,PIK3CA (5290)_hotspot
4,cin,BRAF (673)_hotspot
4,cin,NFE2L2 (4780)_hotspot
4,cin,LRP1B (53353)_damaging
4,cin,MUC19 (283463)_damaging
4,cin,STK11 (6794)_damaging
4,cin,ASXL1 (171023)_damaging
4,cin,SPTA1 (6708)_damaging
4,cin,USH2A (7399)_damaging
4,cin,TYRO3 (7301)_damaging
4,cin,KRAS (3845)_hotspot
4,cin,BCOR (54880)_damaging
4,cin,CREBBP (1387)_damaging
4,cin,PITX1 (5307)_damaging
4,cin,MTOR (2475)_hotspot
0,loh,TP53 (7157)_damaging
0,loh,TP53 (7157)_hotspot
0,loh,RB1 (5925)_damaging
0,loh,KRAS (3845)_hotspot
0,loh,ID3 (3399)_damaging
0,loh,CTCF (10664)_damaging
0,loh,NF2 (4771)_damaging
0,loh,ARID1A (8289)_damaging
0,loh,SMAD4 (4089)_damaging
0,loh,RPL22 (6146)_damaging
0,loh,CREBBP (1387)_damaging
0,loh,TTN (7273)_damaging
0,loh,SPATA31H1 (84226)_damaging
0,loh,PITX1 (5307)_damaging
0,loh,MACF1 (23499)_damaging
0,loh,PDS5B (23047)_damaging
0,loh,NRAS (4893)_hotspot
0,loh,PTPRS (5802)_damaging
0,loh,CDC42BPA (8476)_damaging
0,loh,RB1 (5925)_hotspot
1,loh,TP53 (7157)_damaging
1,loh,TP53 (7157)_hotspot
1,loh,RB1 (5925)_damaging
1,loh,ID3 (3399)_damaging
1,loh,NF2 (4771)_damaging
1,loh,NRAS (4893)_hotspot
1,loh,KRAS (3845)_hotspot
1,loh,PITX1 (5307)_damaging
1,loh,SMAD4 (4089)_damaging
1,loh,BRAF (673)_hotspot
1,loh,APC (324)_damaging
1,loh,TTN (7273)_damaging
1,loh,ARID1A (8289)_damaging
1,loh,CREBBP (1387)_damaging
1,loh,RAD50 (10111)_damaging
1,loh,PCDH15 (65217)_damaging
1,loh,PTEN (5728)_damaging
1,loh,RPL22 (6146)_damaging
1,loh,ERICH3 (127254)_damaging
1,loh,MUC19 (283463)_damaging
2,loh,TP53 (7157)_damaging
2,loh,TP53 (7157)_hotspot
2,loh,ID3 (3399)_damaging
2,loh,MUC19 (283463)_damaging
2,loh,NF2 (4771)_damaging
2,loh,RB1 (5925)_damaging
2,loh,KRAS (3845)_hotspot
2,loh,PITX1 (5307)_damaging
2,loh,KEAP1 (9817)_damaging
2,loh,TTN (7273)_damaging
2,loh,STK11 (6794)_damaging
2,loh,TET2 (54790)_damaging
2,loh,ARID1A (8289)_damaging
2,loh,FAT1 (2195)_damaging
2,loh,SMAD4 (4089)_damaging
2,loh,RPL22 (6146)_damaging
2,loh,SMARCA4 (6597)_damaging
2,loh,IGFN1 (91156)_damaging
2,loh,MACF1 (23499)_damaging
2,loh,MKI67 (4288)_damaging
