feature,mutated_and_positive,mutated_and_negative,unmutated_and_positive,unmutated_and_negative,test,odds_ratio,odds_ratio_ci_low,odds_ratio_ci_high,p_value,fdr_q_value
TP53 (7157)_damaging,584,359,232,456,Chi-square,3.1973873787340312,2.5995090416775013,3.920266203075607,2.2557822613648988e-29,1.3918176552621426e-26
TP53 (7157)_hotspot,464,298,352,517,Chi-square,2.2869127516778525,1.8729243704428713,2.7865381328927956,2.1162357790918533e-16,6.528587378498367e-14
PDS5B (23047)_damaging,5,38,811,777,Chi-square,0.12606269063534298,0.05571199218531277,0.3362629189122035,3.321830179663907e-07,6.831897402842102e-05
TERT (7015)_hotspot,155,87,661,728,Chi-square,1.9621959065852852,1.4757867489330188,2.5954967496295707,2.285593219602926e-06,0.0003525527541237513
RPL22 (6146)_damaging,3,28,813,787,Chi-square,0.10371639430680021,0.03900477116407264,0.36233863570260205,5.709540955168065e-06,0.0007045573538677392
RB1 (5925)_damaging,85,39,731,776,Chi-square,2.3136553369111508,1.5551142649942915,3.3949234981858805,1.7834156582862953e-05,0.001515282289418438
RAD50 (10111)_damaging,4,28,812,787,Chi-square,0.1384588318085855,0.05635282621910433,0.4155985191263414,1.7997531745418524e-05,0.001515282289418438
ID3 (3399)_damaging,0,18,816,797,Chi-square,0.0,0.0015880891887659644,0.4388040910890837,1.9647096135085095e-05,0.001515282289418438
CREBBP (1387)_damaging,21,57,795,758,Chi-square,0.3512744124462099,0.2150865464628228,0.5909609529881037,2.8786771221057826e-05,0.0018232024173978154
MSH3 (4437)_damaging,8,35,808,780,Chi-square,0.22065063649222066,0.10865361661948986,0.49172549354784134,2.9549471918927318e-05,0.0018232024173978154
BRSK1 (84446)_damaging,1,19,815,796,Chi-square,0.05140458508233774,0.0142337998403782,0.3965665421863692,5.065394801025052e-05,0.0026506590614495686
ASXL1 (171023)_damaging,5,28,811,787,Chi-square,0.17328694733133698,0.07477581158138882,0.46902781666740867,5.1552526316685286e-05,0.0026506590614495686
ACVR2A (92)_damaging,6,29,810,786,Chi-square,0.20076628352490422,0.0909402887819978,0.5027102818827716,8.362229068988021e-05,0.0039688425658196995
DDX27 (55661)_damaging,2,20,814,795,Chi-square,0.09766584766584767,0.031924137614154954,0.4443767329117513,0.00011033791937286527,0.004862749732361276
PTPRS (5802)_damaging,1,17,815,798,Chi-square,0.05759653554673403,0.015793386705339016,0.4459981544700141,0.00014774080634414328,0.006077071834289093
KIF7 (374654)_damaging,2,19,814,796,Chi-square,0.10293547135652399,0.03348129849672462,0.46945923293501735,0.00018648961708709932,0.007191505858921267
ATR (545)_damaging,5,25,811,790,Chi-square,0.19482120838471023,0.08317411212372057,0.5307421077364729,0.00022520232690931147,0.008173519747237951
SCAF4 (57466)_damaging,2,18,814,797,Chi-square,0.10879060879060878,0.03519348975910484,0.4974545796796951,0.0003150406014372209,0.010798891727042516
MLH3 (27030)_damaging,3,20,813,795,Chi-square,0.1466789667896679,0.05351365452257786,0.5208695980867302,0.0003529576660810742,0.011366146646826022
CTCF (10664)_damaging,4,22,812,793,Chi-square,0.17756381549484998,0.07065430149768964,0.5399686016278252,0.000368432630367132,0.011366146646826022
JARID2 (3720)_damaging,3,19,813,796,Chi-square,0.1545931248786172,0.056091869743278885,0.5505837568927803,0.0005874376920130806,0.017053618357680503
RB1 (5925)_hotspot,23,5,793,810,Chi-square,4.6986128625472885,1.7158257601592197,11.10067372808545,0.0006080706707762901,0.017053618357680503
BRAF (673)_hotspot,87,49,729,766,Chi-square,1.8656252624506593,1.2918980510647056,2.670245494987295,0.0006838051729713818,0.018343817031449678
KMT2B (9757)_damaging,30,61,786,754,Chi-square,0.47178075334751596,0.30474996136427956,0.7427229131883779,0.0008071296205712411,0.02036407814070743
PITX1 (5307)_damaging,5,22,811,793,Chi-square,0.22222844972536712,0.09360852537049087,0.6103258334104299,0.0009590039587040485,0.02036407814070743
CCDC73 (493860)_damaging,3,18,813,797,Chi-square,0.16338663386633867,0.058923441918192154,0.5837821252939441,0.0009759305165688839,0.02036407814070743
ZNF609 (23060)_damaging,3,18,813,797,Chi-square,0.16338663386633867,0.058923441918192154,0.5837821252939441,0.0009759305165688839,0.02036407814070743
SIN3A (25942)_damaging,3,18,813,797,Chi-square,0.16338663386633867,0.058923441918192154,0.5837821252939441,0.0009759305165688839,0.02036407814070743
PHF20L1 (51105)_damaging,3,18,813,797,Chi-square,0.16338663386633867,0.058923441918192154,0.5837821252939441,0.0009759305165688839,0.02036407814070743
ZNF518A (9849)_damaging,4,20,812,795,Chi-square,0.1958128078817734,0.07711168095056438,0.5990054361104674,0.000990149666484964,0.02036407814070743
KMT2D (8085)_damaging,48,84,768,731,Chi-square,0.5438988095238095,0.3783832671118518,0.788822071489394,0.00105364135880675,0.020970861883347253
TGFBR2 (7048)_damaging,8,27,808,788,Chi-square,0.288962229556289,0.1388189378984235,0.6545865738731307,0.0011529249047490051,0.022229833319691757
NUP214 (8021)_damaging,6,23,810,792,Chi-square,0.25507246376811593,0.11284152324026073,0.6482082469405741,0.001429647016142444,0.02321764650005922
