feature,mutated_and_positive,mutated_and_negative,unmutated_and_positive,unmutated_and_negative,test,odds_ratio,odds_ratio_ci_low,odds_ratio_ci_high,p_value,fdr_q_value
TP53 (7157)_damaging,592,351,224,464,Chi-square,3.4936914936914936,2.8358942081571072,4.289184925680083,1.835390903700208e-33,1.1324361875830283e-30
TP53 (7157)_hotspot,467,295,349,520,Chi-square,2.358700403088728,1.931012684482704,2.8748172420190787,1.6936867943623228e-17,5.225023760607766e-15
RPL22 (6146)_damaging,1,30,815,785,Chi-square,0.03210633946830266,0.009169412706146417,0.2447291867885312,1.4232850728273307e-07,2.9272229664482104e-05
ARID1A (8289)_damaging,35,86,781,729,Chi-square,0.37987970103921626,0.25590180545642005,0.5735136633549704,1.3961314286020455e-06,0.00020063175651693294
PDS5B (23047)_damaging,6,37,810,778,Chi-square,0.15575575575575576,0.07198114671412466,0.3850850089865827,1.6258651257449993e-06,0.00020063175651693294
CTCF (10664)_damaging,1,25,815,790,Chi-square,0.038773006134969326,0.010954753341071377,0.2967941740482984,2.0552942554709423e-06,0.0002113527592709286
RB1 (5925)_damaging,85,39,731,776,Chi-square,2.3136553369111508,1.5551142649942915,3.3949234981858805,1.7834156582862953e-05,0.0012122258315347503
RAD50 (10111)_damaging,4,28,812,787,Chi-square,0.1384588318085855,0.05635282621910433,0.4155985191263414,1.7997531745418524e-05,0.0012122258315347503
ID3 (3399)_damaging,0,18,816,797,Chi-square,0.0,0.0015880891887659644,0.4388040910890837,1.9647096135085095e-05,0.0012122258315347503
PTPRS (5802)_damaging,0,18,816,797,Chi-square,0.0,0.0015880891887659644,0.4388040910890837,1.9647096135085095e-05,0.0012122258315347503
ZNF609 (23060)_damaging,1,20,815,795,Chi-square,0.04877300613496933,0.013561592083924916,0.3756613855872769,2.967827136032567e-05,0.001664681220847358
PITX1 (5307)_damaging,3,24,813,791,Chi-square,0.12161746617466175,0.04515776573560311,0.4278171572128363,4.5319798397121355e-05,0.002083565728154971
SCAF4 (57466)_damaging,1,19,815,796,Chi-square,0.05140458508233774,0.0142337998403782,0.3965665421863692,5.065394801025052e-05,0.002083565728154971
PPRC1 (23082)_damaging,1,19,815,796,Chi-square,0.05140458508233774,0.0142337998403782,0.3965665421863692,5.065394801025052e-05,0.002083565728154971
BRSK1 (84446)_damaging,1,19,815,796,Chi-square,0.05140458508233774,0.0142337998403782,0.3965665421863692,5.065394801025052e-05,0.002083565728154971
ZNF106 (64397)_damaging,3,23,813,792,Chi-square,0.12706561848227177,0.04699949186785412,0.4479098661349221,7.585979803439049e-05,0.0026681376539779977
CREBBP (1387)_damaging,22,56,794,759,Chi-square,0.375539762504498,0.23121665693078675,0.626782375863459,7.789530522960949e-05,0.0026681376539779977
ASPM (259266)_damaging,4,25,812,790,Chi-square,0.15566502463054188,0.06272525737958125,0.4699581915196099,8.213892668564791e-05,0.0026681376539779977
MKI67 (4288)_damaging,5,27,811,788,Chi-square,0.17993332419966204,0.07738704217058101,0.4879980545314532,8.448308175370313e-05,0.0026681376539779977
CDC42BPA (8476)_damaging,1,18,815,797,Chi-square,0.05432856169052488,0.014974102203237907,0.41986697967070513,8.64874442132252e-05,0.0026681376539779977
MSH3 (4437)_damaging,9,34,807,781,Chi-square,0.25617756396238794,0.12909042694892772,0.550158574390508,0.00010981631892759427,0.0030944771024117215
JARID2 (3720)_damaging,2,20,814,795,Chi-square,0.09766584766584767,0.031924137614154954,0.4443767329117513,0.00011033791937286527,0.0030944771024117215
ESRP1 (54845)_damaging,1,17,815,798,Chi-square,0.05759653554673403,0.015793386705339016,0.4459981544700141,0.00014774080634414328,0.003963307718014626
SMAD4 (4089)_damaging,43,15,773,800,Chi-square,2.9667960327727467,1.6129734066997794,5.229858598187665,0.00018475783873583157,0.004425542067028472
USP9X (8239)_damaging,2,19,814,796,Chi-square,0.10293547135652399,0.03348129849672462,0.46945923293501735,0.00018648961708709932,0.004425542067028472
PHF20L1 (51105)_damaging,2,19,814,796,Chi-square,0.10293547135652399,0.03348129849672462,0.46945923293501735,0.00018648961708709932,0.004425542067028472
