feature,mutated_and_positive,mutated_and_negative,unmutated_and_positive,unmutated_and_negative,test,odds_ratio,odds_ratio_ci_low,odds_ratio_ci_high,p_value,fdr_q_value
TP53 (7157)_damaging,742,201,322,366,Chi-square,4.195976638546399,3.374283034801839,5.196965414658552,1.1418480093783782e-40,7.045202217864594e-38
TP53 (7157)_hotspot,592,170,472,397,Chi-square,2.92901296111665,2.354708379237275,3.629622460748347,4.592920546416448e-23,1.4169159885694744e-20
TERT (7015)_hotspot,198,44,866,523,Chi-square,2.717667436489607,1.9129769785701163,3.796535756994408,4.36599456370882e-09,8.979395486027807e-07
ID3 (3399)_damaging,1,17,1063,550,Chi-square,0.030435504399313817,0.008346515516254097,0.23585271165649438,8.96681153110629e-08,1.3831306786731453e-05
BRAF (673)_hotspot,115,21,949,546,Chi-square,3.1506849315068495,1.9281705928429,4.958290729445376,7.717121643349882e-07,9.522928107893756e-05
PDS5B (23047)_damaging,13,30,1051,537,Chi-square,0.2214081826831589,0.11822435895251161,0.43301134349005643,1.035801234470394e-06,0.00010651489361137217
RPL22 (6146)_damaging,8,23,1056,544,Chi-square,0.17918313570487485,0.08449537100225972,0.411268999936616,3.2495725619737043e-06,0.0002864266101053965
CREBBP (1387)_damaging,33,45,1031,522,Chi-square,0.371290009699321,0.23580092489772367,0.5898688215892866,1.314615577739988e-05,0.0010138972643319658
GNA13 (10672)_damaging,4,16,1060,551,Chi-square,0.12995283018867926,0.049759048295312254,0.4042544056513605,1.9169202746400105e-05,0.0013141553438365406
RAD50 (10111)_damaging,10,22,1054,545,Chi-square,0.2350353631188546,0.11520413324740449,0.505873398848043,4.556647387531181e-05,0.002811451438106739
MSH3 (4437)_damaging,16,27,1048,540,Chi-square,0.3053435114503817,0.16653476786265609,0.5744498385761796,9.187197925045626e-05,0.005153182836139228
CTCF (10664)_damaging,8,18,1056,549,Chi-square,0.23106060606060605,0.10538963594751205,0.5418672221039184,0.0001990469091455212,0.010234328578565549
SIN3A (25942)_damaging,6,15,1058,552,Chi-square,0.20869565217391303,0.08708724904682252,0.5501632601524442,0.00038362906107154314,0.018207625437010933
TGFBR2 (7048)_damaging,13,22,1051,545,Chi-square,0.30641812991955714,0.15727880789987225,0.616031965233369,0.00041860006506310273,0.018448302867423886
KMT2D (8085)_damaging,68,64,996,503,Chi-square,0.5365838353413654,0.37566980661997174,0.766478127399544,0.0005545398791285784,0.02281007369482219
BCOR (54880)_damaging,14,22,1050,545,Chi-square,0.3303030303030303,0.17156409084486737,0.6527426216484709,0.0007885477767578346,0.02988433157052475
