ModelID,UMAP1,UMAP2,wgd,cin,loh
ACH-000001,8.660753,-0.97454953,1,1,0
ACH-000002,0.11690082,6.969929,0,0,0
ACH-000004,8.8068495,-0.79230136,1,0,1
ACH-000005,8.705285,-0.92621964,1,0,1
ACH-000006,8.830655,-0.8166372,0,0,0
ACH-000008,4.905126,10.259042,1,1,1
ACH-000009,2.8740518,6.420165,1,1,1
ACH-000011,5.7408314,3.5727086,1,1,1
ACH-000012,8.242323,2.6484568,1,1,1
ACH-000013,8.801838,-1.0295027,1,0,0
ACH-000014,5.0365453,10.336619,1,1,1
ACH-000015,3.6937494,6.2736096,1,0,1
ACH-000018,3.8576124,11.710048,1,1,1
ACH-000019,5.7872434,3.5374298,1,1,0
ACH-000020,6.5395036,8.168799,1,0,1
ACH-000021,3.7368639,6.366312,1,1,1
ACH-000022,0.009525208,10.844467,1,1,1
ACH-000023,0.026756506,10.7071705,1,0,1
ACH-000024,1.1680712,6.49679,1,1,0
ACH-000026,5.828644,3.463774,1,1,1
ACH-000027,3.6712759,9.1110935,0,0,0
ACH-000030,4.6708217,7.3040714,1,1,1
ACH-000031,0.18318337,10.521001,1,0,0
ACH-000032,-14.296023,4.765252,0,0,0
ACH-000035,5.5015664,6.06878,1,0,1
ACH-000036,3.60594,9.4158125,1,0,1
ACH-000038,6.267973,7.3386674,0,0,0
ACH-000039,-14.2306795,4.678853,0,0,1
ACH-000041,8.8576565,-0.91153485,1,0,0
ACH-000043,-14.303045,5.0448375,0,0,0
ACH-000046,9.907754,7.7618313,1,0,1
ACH-000047,4.775331,6.5960193,1,1,1
ACH-000048,3.6977866,6.344389,1,1,1
ACH-000051,7.875418,6.907594,0,0,0
ACH-000052,5.5615053,9.581124,0,0,0
ACH-000054,6.7536826,5.943726,0,0,0
ACH-000056,7.357151,10.660571,0,0,0
ACH-000058,5.6118917,8.154171,1,1,1
ACH-000059,6.6230373,8.057156,0,0,0
ACH-000061,4.4627995,4.4611144,0,0,0
ACH-000062,5.722937,4.828279,1,1,1
ACH-000063,-14.484619,4.7612467,0,0,0
ACH-000065,5.782438,8.681066,0,0,0
ACH-000066,3.1967733,4.399929,1,1,0
ACH-000067,8.541122,-0.7966984,0,0,0
ACH-000069,-14.146314,4.9733667,0,0,0
ACH-000070,6.868074,8.222691,0,0,0
ACH-000072,8.828778,8.412897,1,0,1
ACH-000073,8.139564,10.463337,0,0,0
ACH-000074,4.3427086,5.3838286,1,0,1
ACH-000076,5.1023245,8.441049,1,0,1
ACH-000077,-14.215746,4.8597817,0,0,0
ACH-000078,4.542491,11.433487,0,0,0
ACH-000079,-14.370025,4.984823,0,0,0
ACH-000080,7.041219,6.658098,0,0,0
ACH-000081,-0.09850545,7.0169063,0,0,0
ACH-000082,6.5002165,8.937637,1,0,1
ACH-000083,-14.060407,4.946081,0,0,0
ACH-000085,0.29094377,10.565361,1,1,1
ACH-000086,7.4619703,6.849967,1,1,1
ACH-000087,3.8334143,4.01644,0,0,1
ACH-000089,-0.3124355,9.775087,1,1,0
ACH-000090,6.2597647,6.4155354,1,1,1
ACH-000092,-14.247165,4.788116,1,0,1
ACH-000094,0.04959335,10.743386,1,1,1
ACH-000095,-14.31267,4.8746514,0,0,0
ACH-000096,-14.547911,5.076673,0,0,0
ACH-000097,4.118712,8.94662,1,1,1
ACH-000098,3.14333,11.341353,1,1,1
ACH-000099,4.5841637,11.496655,0,0,0
ACH-000100,3.04836,7.0942698,1,0,0
ACH-000101,5.88373,8.018455,0,0,0
ACH-000102,2.8355875,8.994493,1,1,1
ACH-000103,8.1655,3.0424697,1,1,1
ACH-000104,5.661185,7.274713,0,0,0
ACH-000105,8.210791,10.308458,0,0,0
ACH-000106,8.094511,3.8119113,0,0,0
ACH-000107,0.0744933,10.617163,1,1,1
