column,dtype,min,max,mean,var
TP53 (7157)_hotspot,int8,0,1,0.46719803801348864,0.24892403128983556
TP53 (7157)_damaging,int8,0,1,0.5781729000613121,0.24388899769600408
TERT (7015)_hotspot,int8,0,1,0.1483752299202943,0.1263600210663941
TTN (7273)_damaging,int8,0,1,0.12814224402207236,0.11172180931906006
CDKN2A (1029)_damaging,int8,0,1,0.11097486204782342,0.09865944204128997
KRAS (3845)_hotspot,int8,0,1,0.11036174126302882,0.09818202732842111
PTEN (5728)_damaging,int8,0,1,0.08706315144083385,0.07948315910202426
BRAF (673)_hotspot,int8,0,1,0.08338442673206621,0.07643146411063088
KMT2D (8085)_damaging,int8,0,1,0.0809319435928878,0.07438196409916543
RB1 (5925)_damaging,int8,0,1,0.07602697731453097,0.07024687603494674
