feature,kind,n_cell_lines
PIK3CD (5293)_hotspot,hotspot,3
MTOR (2475)_hotspot,hotspot,16
KLHDC7A (127707)_hotspot,hotspot,1
ARID1A (8289)_hotspot,hotspot,9
ZSCAN20 (7579)_hotspot,hotspot,0
CSMD2 (114784)_hotspot,hotspot,1
EIF2B3 (8891)_hotspot,hotspot,3
MUTYH (4595)_hotspot,hotspot,1
STIL (6491)_hotspot,hotspot,2
LEPR (3953)_hotspot,hotspot,0
C1orf141 (400757)_hotspot,hotspot,1
RPE65 (6121)_hotspot,hotspot,0
MIGA1 (374986)_hotspot,hotspot,0
ZNHIT6 (54680)_hotspot,hotspot,1
HFM1 (164045)_hotspot,hotspot,0
CFAP276 (127003)_hotspot,hotspot,1
CHI3L2 (1117)_hotspot,hotspot,0
PPM1J (333926)_hotspot,hotspot,0
NRAS (4893)_hotspot,hotspot,87
DCST1 (149095)_hotspot,hotspot,1
RUSC1 (23623)_hotspot,hotspot,0
ASH1L (55870)_hotspot,hotspot,1
RIT1 (6016)_hotspot,hotspot,1
CD1C (911)_hotspot,hotspot,1
SPTA1 (6708)_hotspot,hotspot,1
SUCO (51430)_hotspot,hotspot,2
ASTN1 (460)_hotspot,hotspot,1
ZNF648 (127665)_hotspot,hotspot,3
KCNT2 (343450)_hotspot,hotspot,1
KIF14 (9928)_hotspot,hotspot,1
CD55 (1604)_hotspot,hotspot,1
USH2A (7399)_hotspot,hotspot,0
DNAH14 (127602)_hotspot,hotspot,0
LBR (3930)_hotspot,hotspot,2
H3-3A (3020)_hotspot,hotspot,4
LYST (1130)_hotspot,hotspot,3
FMN2 (56776)_hotspot,hotspot,1
RGS7 (6000)_hotspot,hotspot,2
FH (2271)_hotspot,hotspot,1
ZBTB18 (10472)_hotspot,hotspot,1
GATA3 (2625)_hotspot,hotspot,5
UPF2 (26019)_hotspot,hotspot,0
MLLT10 (8028)_hotspot,hotspot,1
ABI1 (10006)_hotspot,hotspot,1
ITGB1 (3688)_hotspot,hotspot,0
RET (5979)_hotspot,hotspot,1
PRKG1 (5592)_hotspot,hotspot,2
PCDH15 (65217)_hotspot,hotspot,1
ANK3 (288)_hotspot,hotspot,0
ARID5B (84159)_hotspot,hotspot,0
RTKN2 (219790)_hotspot,hotspot,1
AGAP5 (729092)_hotspot,hotspot,0
BMPR1A (657)_hotspot,hotspot,1
PTEN (5728)_hotspot,hotspot,56
FAS (355)_hotspot,hotspot,1
KIF20B (9585)_hotspot,hotspot,1
CYP2C19 (1557)_hotspot,hotspot,2
ARMH3 (79591)_hotspot,hotspot,1
CUEDC2 (79004)_hotspot,hotspot,1
NT5C2 (22978)_hotspot,hotspot,1
COL17A1 (1308)_hotspot,hotspot,1
SORCS3 (22986)_hotspot,hotspot,1
PNLIPRP3 (119548)_hotspot,hotspot,1
FGFR2 (2263)_hotspot,hotspot,5
CHST15 (51363)_hotspot,hotspot,0
DOCK1 (1793)_hotspot,hotspot,1
PAOX (196743)_hotspot,hotspot,2
HRAS (3265)_hotspot,hotspot,17
PHLDA2 (7262)_hotspot,hotspot,0
OR51F1 (256892)_hotspot,hotspot,1
OR51B2 (79345)_hotspot,hotspot,1
RRAS2 (22800)_hotspot,hotspot,1
KIF18A (81930)_hotspot,hotspot,0
KCNA4 (3739)_hotspot,hotspot,1
WT1 (7490)_hotspot,hotspot,1
SYT13 (57586)_hotspot,hotspot,2
MYBPC3 (4607)_hotspot,hotspot,2
OR4A15 (81328)_hotspot,hotspot,1
OR4C16 (219428)_hotspot,hotspot,1
OR5D13 (390142)_hotspot,hotspot,1
OR1S1 (219959)_hotspot,hotspot,0
FAM111A (63901)_hotspot,hotspot,0
PATL1 (219988)_hotspot,hotspot,1
SDHAF2 (54949)_hotspot,hotspot,0
RPS6KA4 (8986)_hotspot,hotspot,2
CD248 (57124)_hotspot,hotspot,1
CARNS1 (57571)_hotspot,hotspot,4
UNC93B1 (81622)_hotspot,hotspot,0
CCND1 (595)_hotspot,hotspot,3
INPPL1 (3636)_hotspot,hotspot,6
CNTN5 (53942)_hotspot,hotspot,2
PGR (5241)_hotspot,hotspot,1
ATM (472)_hotspot,hotspot,13
ZBTB16 (7704)_hotspot,hotspot,1
CBL (867)_hotspot,hotspot,2
VWA5A (4013)_hotspot,hotspot,1
OR8D1 (283159)_hotspot,hotspot,2
SIAE (54414)_hotspot,hotspot,1
RAD52 (5893)_hotspot,hotspot,0
FERRY3 (57102)_hotspot,hotspot,2
NCAPD2 (9918)_hotspot,hotspot,1
CHD4 (1108)_hotspot,hotspot,2
DUSP16 (80824)_hotspot,hotspot,2
SLCO1B7 (338821)_hotspot,hotspot,3
ABCC9 (10060)_hotspot,hotspot,2
C2CD5 (9847)_hotspot,hotspot,2
KRAS (3845)_hotspot,hotspot,180
PDZRN4 (29951)_hotspot,hotspot,1
ARID2 (196528)_hotspot,hotspot,1
KMT2D (8085)_hotspot,hotspot,4
SMARCD1 (6602)_hotspot,hotspot,1
ACVR1B (91)_hotspot,hotspot,0
OR6C1 (390321)_hotspot,hotspot,1
ERBB3 (2065)_hotspot,hotspot,12
CDK4 (1019)_hotspot,hotspot,6
RASSF9 (9182)_hotspot,hotspot,1
DCN (1634)_hotspot,hotspot,1
CFAP54 (144535)_hotspot,hotspot,1
ACACB (32)_hotspot,hotspot,1
PTPN11 (5781)_hotspot,hotspot,7
NOS1 (4842)_hotspot,hotspot,3
RFC5 (5985)_hotspot,hotspot,0
HSPB8 (26353)_hotspot,hotspot,1
HNF1A (6927)_hotspot,hotspot,2
C12orf43 (64897)_hotspot,hotspot,2
POLE (5426)_hotspot,hotspot,4
ZNF140 (7699)_hotspot,hotspot,1
LATS2 (26524)_hotspot,hotspot,1
MICU2 (221154)_hotspot,hotspot,2
SACS (26278)_hotspot,hotspot,2
FLT3 (2322)_hotspot,hotspot,4
BRCA2 (675)_hotspot,hotspot,10
PDS5B (23047)_hotspot,hotspot,1
FREM2 (341640)_hotspot,hotspot,1
FOXO1 (2308)_hotspot,hotspot,5
RB1 (5925)_hotspot,hotspot,28
DIS3 (22894)_hotspot,hotspot,6
NALCN (259232)_hotspot,hotspot,1
CCDC168 (643677)_hotspot,hotspot,0
OR4M1 (441670)_hotspot,hotspot,3
ZNF219 (51222)_hotspot,hotspot,0
OXA1L (5018)_hotspot,hotspot,1
FOXA1 (3169)_hotspot,hotspot,0
ACTR10 (55860)_hotspot,hotspot,1
SIX4 (51804)_hotspot,hotspot,0
HSPA2 (3306)_hotspot,hotspot,1
MAX (4149)_hotspot,hotspot,2
LRRC74A (145497)_hotspot,hotspot,0
DICER1 (23405)_hotspot,hotspot,0
