fold,feature,importance
0,MTOR (2475)_hotspot,0.0018760895719081851
0,NRAS (4893)_hotspot,0.08187825108537329
0,PTEN (5728)_hotspot,0.0
0,HRAS (3265)_hotspot,0.015142393571718432
0,KRAS (3845)_hotspot,0.15158230397541736
0,RB1 (5925)_hotspot,0.032181750649242676
0,MAP2K1 (5604)_hotspot,0.04449835377198816
0,CREBBP (1387)_hotspot,0.0
0,TP53 (7157)_hotspot,0.0541100032222923
0,NF1 (4763)_hotspot,0.0
0,SMAD4 (4089)_hotspot,0.04912771705545599
0,STK11 (6794)_hotspot,0.0
0,SMARCA4 (6597)_hotspot,0.0
0,C2orf81 (388963)_hotspot,0.03908330861773026
0,NFE2L2 (4780)_hotspot,0.0020063906628488485
0,VHL (7428)_hotspot,0.0
0,CTNNB1 (1499)_hotspot,0.0
0,RHOA (387)_hotspot,0.010307451904580458
0,PIK3CA (5290)_hotspot,0.0
0,FBXW7 (55294)_hotspot,0.0
0,TERT (7015)_hotspot,0.0
0,PIK3R1 (5295)_hotspot,0.0
0,APC (324)_hotspot,0.0
0,RAC1 (5879)_hotspot,0.0
0,EGFR (1956)_hotspot,0.0
0,BRAF (673)_hotspot,0.09730939047546992
0,CDKN2A (1029)_hotspot,0.0
0,DVL1 (1855)_damaging,0.0
0,MXRA8 (54587)_damaging,0.0
0,MEGF6 (1953)_damaging,0.0
0,CHD5 (26038)_damaging,0.0
0,RPL22 (6146)_damaging,0.007157438164879459
0,CAMTA1 (23261)_damaging,0.0
0,ERRFI1 (54206)_damaging,0.02353903202363559
0,SLC45A1 (50651)_damaging,0.0
0,RERE (473)_damaging,0.008665965305020952
0,VPS13D (55187)_damaging,0.0
0,FHAD1 (114827)_damaging,0.0
0,SPEN (23013)_damaging,0.0
0,EPHA2 (1969)_damaging,0.0
0,UBR4 (23352)_damaging,0.07973904904574665
0,EIF4G3 (8672)_damaging,0.0
0,HSPG2 (3339)_damaging,0.0
0,ID3 (3399)_damaging,0.13566041645597063
0,ELOA (6924)_damaging,0.0
0,ARID1A (8289)_damaging,0.09194101081251012
0,WDTC1 (23038)_damaging,0.0
0,PTPRU (10076)_damaging,0.0
0,COL16A1 (1307)_damaging,0.0
0,CSMD2 (114784)_damaging,0.0
0,ZMYM1 (79830)_damaging,0.0
0,ZMYM4 (9202)_damaging,0.0
0,AGO1 (26523)_damaging,0.0
0,MAP7D1 (55700)_damaging,0.0
0,MACF1 (23499)_damaging,0.09753844388055935
0,TIE1 (7075)_damaging,0.0
0,MPL (4352)_damaging,0.0
0,SZT2 (23334)_damaging,0.0
0,MUTYH (4595)_damaging,0.022072510966645763
0,MAST2 (23139)_damaging,0.0
0,FAAH (2166)_damaging,0.0
0,TAL1 (6886)_damaging,0.00472070059057906
0,FYB2 (199920)_damaging,0.0
0,NFIA (4774)_damaging,0.0
0,PATJ (10207)_damaging,0.0
0,DOCK7 (85440)_damaging,0.0
0,JAK1 (3716)_damaging,0.0
0,LRRC7 (57554)_damaging,0.0
0,ERICH3 (127254)_damaging,0.04213120176901983
0,SLC44A5 (204962)_damaging,0.0
0,ADGRL4 (64123)_damaging,0.06829245584401852
0,ADGRL2 (23266)_damaging,0.0
0,COL24A1 (255631)_damaging,0.0
0,HFM1 (164045)_damaging,0.0
0,BTBD8 (284697)_damaging,0.01185410721795658
0,ABCA4 (24)_damaging,0.0
0,ARHGAP29 (9411)_damaging,0.0
0,DPYD (1806)_damaging,0.0
0,COL11A1 (1301)_damaging,0.0
0,EPS8L3 (79574)_damaging,0.0
0,CEPT1 (10390)_damaging,0.0
0,SYCP1 (6847)_damaging,0.0
0,SPAG17 (200162)_damaging,0.0
0,NOTCH2 (4853)_damaging,0.0
0,CHD1L (9557)_damaging,0.026545520253630665
0,BCL9 (607)_damaging,0.05825310974093688
0,ADAMTSL4 (54507)_damaging,0.0
0,ZNF687 (57592)_damaging,0.0
0,TCHH (7062)_damaging,0.0
0,FLG (2312)_damaging,0.0
0,CCDST (112268240)_damaging,0.0
0,FLG2 (388698)_damaging,0.0
0,UBAP2L (9898)_damaging,0.0
0,SHC1 (6464)_damaging,0.0
0,ASH1L (55870)_damaging,0.0
0,GON4L (54856)_damaging,0.0
0,IQGAP3 (128239)_damaging,0.0
0,NES (10763)_damaging,0.0
0,INSRR (3645)_damaging,0.0
0,FCRL5 (83416)_damaging,0.0
0,SPTA1 (6708)_damaging,0.0
0,IGSF9 (57549)_damaging,0.0024217676669366917
0,F5 (2153)_damaging,0.0
0,TNR (7143)_damaging,0.0
0,PAPPA2 (60676)_damaging,0.0
0,ABL2 (27)_damaging,0.02532796760237826
0,AXDND1 (126859)_damaging,0.08486218076581636
0,TDRD5 (163589)_damaging,0.0
0,CEP350 (9857)_damaging,0.0
0,CACNA1E (777)_damaging,0.04257320490437556
0,RGL1 (23179)_damaging,0.0
0,HMCN1 (83872)_damaging,0.0
0,TPR (7175)_damaging,0.0
0,BRINP3 (339479)_damaging,0.0
0,KCNT2 (343450)_damaging,0.0
0,ASPM (259266)_damaging,0.008554871535152506
0,CRB1 (23418)_damaging,0.0
0,PTPRC (5788)_damaging,0.0892955374872651
0,CAMSAP2 (23271)_damaging,0.001243374048311731
0,CACNA1S (779)_damaging,0.06309926196433656
0,IGFN1 (91156)_damaging,0.0
0,NAV1 (89796)_damaging,0.0
0,ELF3 (1999)_damaging,0.06722531409576074
0,KDM5B (10765)_damaging,0.0
0,ATP2B4 (493)_damaging,0.0
0,PLEKHA6 (22874)_damaging,0.0
0,PIK3C2B (5287)_damaging,0.0
0,NFASC (23114)_damaging,0.0
0,CR2 (1380)_damaging,0.0
0,CR1 (1378)_damaging,0.0
0,PLXNA2 (5362)_damaging,0.0
0,PROX1 (5629)_damaging,0.0
0,PTPN14 (5784)_damaging,0.0
0,CENPF (1063)_damaging,0.0
0,USH2A (7399)_damaging,0.02679074970188819
0,EPRS1 (2058)_damaging,0.0
0,DISP1 (84976)_damaging,0.0
0,DNAH14 (127602)_damaging,0.0
0,CDC42BPA (8476)_damaging,0.0643617673928355
0,OBSCN (84033)_damaging,0.0
0,H3-4 (8290)_damaging,0.0
0,PCNX2 (80003)_damaging,0.0
0,ARID4B (51742)_damaging,0.0
0,LYST (1130)_damaging,0.0
0,RYR2 (6262)_damaging,0.0
0,CHRM3 (1131)_damaging,0.0
0,FMN2 (56776)_damaging,0.0
0,RGS7 (6000)_damaging,0.01691658954246495
0,WDR64 (128025)_damaging,0.0
0,SDCCAG8 (10806)_damaging,0.0
0,KIF26B (55083)_damaging,0.0
0,AHCTF1 (25909)_damaging,0.0
0,NLRP3 (114548)_damaging,0.0
0,LARP4B (23185)_damaging,0.0
0,ITGA8 (8516)_damaging,0.0
0,CUBN (8029)_damaging,0.09057159393235932
0,MRC1 (4360)_damaging,0.0
0,MALRD1 (340895)_damaging,0.0
0,ARMC3 (219681)_damaging,0.0
0,KIAA1217 (56243)_damaging,0.0
0,GPR158 (57512)_damaging,0.0
0,ANKRD26 (22852)_damaging,0.0
0,SVIL (6840)_damaging,0.0
0,JCAD (57608)_damaging,0.0
0,ANKRD30A (91074)_damaging,0.0
0,RSU1P2 (100133308)_damaging,0.0
0,WDFY4 (57705)_damaging,0.0
0,C10orf71 (118461)_damaging,0.0
0,PCDH15 (65217)_damaging,0.024884584268862493
0,ANK3 (288)_damaging,0.0
0,ARID5B (84159)_damaging,0.014185529824216184
0,JMJD1C (221037)_damaging,0.0
0,CTNNA3 (29119)_damaging,0.024390417662477914
0,MYPN (84665)_damaging,0.0
0,CDH23 (64072)_damaging,0.0
0,ZMIZ1 (57178)_damaging,0.0
0,NRG3 (10718)_damaging,0.05671273072736951
0,PTEN (5728)_damaging,0.0
0,STAMBPL1 (57559)_damaging,0.0
0,KIF20B (9585)_damaging,0.0
0,BTAF1 (9044)_damaging,0.0024648843215702267
0,MYOF (26509)_damaging,0.0
0,PDE6C (5146)_damaging,0.0
0,PLCE1 (51196)_damaging,0.0
0,CC2D2B (387707)_damaging,0.01021436789628264
0,ZNF518A (9849)_damaging,0.0
0,LCOR (84458)_damaging,0.034904632683328295
0,SLIT1 (6585)_damaging,0.0
0,PPRC1 (23082)_damaging,0.027505001257717814
0,PSD (5662)_damaging,0.0
0,CNNM2 (54805)_damaging,0.0
0,PDCD11 (22984)_damaging,0.0625082747959227
0,SH3PXD2A (9644)_damaging,0.0
0,SLK (9748)_damaging,0.0
0,SORCS3 (22986)_damaging,0.0
0,SORCS1 (114815)_damaging,0.0
0,SMC3 (9126)_damaging,0.02224090444942227
0,TCF7L2 (6934)_damaging,0.0
0,ATRNL1 (26033)_damaging,0.0
0,TACC2 (10579)_damaging,0.011119106070898391
0,DMBT1 (1755)_damaging,0.0
0,DOCK1 (1793)_damaging,0.0
0,MKI67 (4288)_damaging,0.023486329772163972
0,JAKMIP3 (282973)_damaging,0.0
0,CFAP46 (54777)_damaging,0.0
0,B4GALNT4 (338707)_damaging,0.0
0,PKP3 (11187)_damaging,0.0
0,MUC5AC (4586)_damaging,0.0
0,MUC5B (727897)_damaging,0.011152237108694965
0,BRSK2 (9024)_damaging,0.0
0,KCNQ1 (3784)_damaging,0.0
0,NUP98 (4928)_damaging,0.0
0,OR51E2 (81285)_damaging,0.0
0,DNHD1 (144132)_damaging,0.0
0,DCHS1 (8642)_damaging,0.0
0,IPO7 (10527)_damaging,0.0
0,SBF2 (81846)_damaging,0.0
0,PLEKHA7 (144100)_damaging,0.0
0,ABCC8 (6833)_damaging,0.0
0,USH1C (10083)_damaging,0.0
0,OTOG (340990)_damaging,0.0
0,NAV2 (89797)_damaging,0.0
0,DCDC1 (341019)_damaging,0.0
0,CCDC73 (493860)_damaging,0.0
0,QSER1 (79832)_damaging,0.0
0,CSTF3 (1479)_damaging,0.0
0,KIAA1549L (25758)_damaging,0.0
0,LRP4 (4038)_damaging,0.0
0,AGBL2 (79841)_damaging,0.0
0,FOLH1 (2346)_damaging,0.0
0,OR4A15 (81328)_damaging,0.0
0,OR4P4 (81300)_damaging,0.0
0,CTNND1 (1500)_damaging,0.0
0,DTX4 (23220)_damaging,0.028338329625451762
0,MYRF (745)_damaging,0.0
0,AHNAK (79026)_damaging,0.0
0,EML3 (256364)_damaging,0.0
0,SLC3A2 (6520)_damaging,0.013356474038644983
