fold,feature,importance
0,MTOR (2475)_hotspot,0.0024366404
0,NRAS (4893)_hotspot,0.0029920628
0,PTEN (5728)_hotspot,0.0011523311
0,HRAS (3265)_hotspot,0.0015297133
0,ATM (472)_hotspot,0.0
0,KRAS (3845)_hotspot,0.002194151
0,RB1 (5925)_hotspot,0.002727874
0,CREBBP (1387)_hotspot,0.00087144127
0,TP53 (7157)_hotspot,0.0059388285
0,NF1 (4763)_hotspot,0.0027908247
0,ERBB2 (2064)_hotspot,0.0017355727
0,SMAD4 (4089)_hotspot,0.003720937
0,STK11 (6794)_hotspot,0.0012732842
0,SMARCA4 (6597)_hotspot,0.002731686
0,C2orf81 (388963)_hotspot,0.00245357
0,NFE2L2 (4780)_hotspot,0.0033344326
0,EP300 (2033)_hotspot,0.0017721453
0,VHL (7428)_hotspot,0.0
0,CTNNB1 (1499)_hotspot,0.0027462395
0,RHOA (387)_hotspot,0.0022173685
0,PIK3CA (5290)_hotspot,0.0037813457
0,FBXW7 (55294)_hotspot,0.0027949759
0,TERT (7015)_hotspot,0.003985327
0,PIK3R1 (5295)_hotspot,0.0028151765
0,APC (324)_hotspot,0.0023574522
0,RAC1 (5879)_hotspot,0.0017109743
0,EGFR (1956)_hotspot,0.0
0,BRAF (673)_hotspot,0.008205706
0,MYC (4609)_hotspot,0.0
0,CDKN2A (1029)_hotspot,0.0016540863
0,AGRN (375790)_damaging,0.0031084397
0,MXRA8 (54587)_damaging,0.0
0,MEGF6 (1953)_damaging,0.002148908
0,CHD5 (26038)_damaging,0.0028989208
0,RPL22 (6146)_damaging,0.0019649481
0,ERRFI1 (54206)_damaging,0.0
0,SLC45A1 (50651)_damaging,0.0
0,RERE (473)_damaging,0.0
0,EXOSC10 (5394)_damaging,0.0
0,VPS13D (55187)_damaging,0.0
0,FHAD1 (114827)_damaging,0.0
0,SPEN (23013)_damaging,0.00034833056
0,EPHA2 (1969)_damaging,0.0
0,UBR4 (23352)_damaging,0.0
0,HSPG2 (3339)_damaging,0.0
0,LUZP1 (7798)_damaging,0.0
0,ID3 (3399)_damaging,0.004144941
0,ELOA (6924)_damaging,0.0
0,ARID1A (8289)_damaging,0.0016738332
0,WDTC1 (23038)_damaging,0.0
0,COL16A1 (1307)_damaging,0.0
0,CSMD2 (114784)_damaging,0.002258067
0,ZMYM6 (9204)_damaging,0.0
0,ZMYM1 (79830)_damaging,0.0
0,ZMYM4 (9202)_damaging,0.0
0,CLSPN (63967)_damaging,0.0
0,AGO1 (26523)_damaging,0.0
0,MAP7D1 (55700)_damaging,0.0016883337
0,MACF1 (23499)_damaging,0.0027421205
0,HIVEP3 (59269)_damaging,0.0
0,TIE1 (7075)_damaging,3.3663902e-05
0,MPL (4352)_damaging,0.0
0,SZT2 (23334)_damaging,0.0
0,PTCH2 (8643)_damaging,0.0
0,ZSWIM5 (57643)_damaging,0.0
0,MUTYH (4595)_damaging,0.0
0,MAST2 (23139)_damaging,0.0
0,FAAH (2166)_damaging,0.0
0,TAL1 (6886)_damaging,0.0
0,FYB2 (199920)_damaging,0.0
0,NFIA (4774)_damaging,0.0
0,PATJ (10207)_damaging,0.0
0,DOCK7 (85440)_damaging,0.0
0,JAK1 (3716)_damaging,0.0
0,DNAJC6 (9829)_damaging,0.0
0,LRRC7 (57554)_damaging,0.0020077848
0,ERICH3 (127254)_damaging,0.0025999825
0,SLC44A5 (204962)_damaging,0.0
0,ADGRL4 (64123)_damaging,0.0029033013
0,ADGRL2 (23266)_damaging,0.0
0,COL24A1 (255631)_damaging,0.0
0,HFM1 (164045)_damaging,0.0
0,BTBD8 (284697)_damaging,0.0
0,RPL5 (6125)_damaging,0.0023322883
0,CCDC18 (343099)_damaging,0.0
0,ABCA4 (24)_damaging,0.0
0,ARHGAP29 (9411)_damaging,0.0
0,DPYD (1806)_damaging,0.0
0,COL11A1 (1301)_damaging,0.0
0,EPS8L3 (79574)_damaging,0.0
0,SYCP1 (6847)_damaging,0.002232893
0,MAN1A2 (10905)_damaging,0.0
0,SPAG17 (200162)_damaging,0.0026601627
0,NOTCH2 (4853)_damaging,0.0
0,BCL9 (607)_damaging,0.0
0,ADAMTSL4 (54507)_damaging,0.0
0,SETDB1 (9869)_damaging,0.0
0,ZNF687 (57592)_damaging,0.0
0,TCHH (7062)_damaging,0.0019849087
0,FLG (2312)_damaging,0.0016750316
0,CCDST (112268240)_damaging,0.0027284645
0,FLG2 (388698)_damaging,0.0
0,UBAP2L (9898)_damaging,0.0
0,SHC1 (6464)_damaging,0.0
0,ASH1L (55870)_damaging,0.0030112648
0,GON4L (54856)_damaging,0.0
0,IQGAP3 (128239)_damaging,0.0
0,NES (10763)_damaging,0.0
0,INSRR (3645)_damaging,0.0
0,FCRL5 (83416)_damaging,0.0
0,SPTA1 (6708)_damaging,0.003431399
0,ADCY10 (55811)_damaging,0.0
0,F5 (2153)_damaging,0.0
0,FIRRM (55732)_damaging,0.0
0,PRRC2C (23215)_damaging,0.0
0,TNR (7143)_damaging,0.0
0,PAPPA2 (60676)_damaging,0.0
0,ASTN1 (460)_damaging,0.0
0,RASAL2 (9462)_damaging,0.0
0,ABL2 (27)_damaging,0.0
0,AXDND1 (126859)_damaging,0.0
0,TDRD5 (163589)_damaging,0.0
0,CEP350 (9857)_damaging,0.0
0,CACNA1E (777)_damaging,0.0008971274
0,RGL1 (23179)_damaging,0.001503379
0,HMCN1 (83872)_damaging,0.0017359601
0,TPR (7175)_damaging,0.0
0,KCNT2 (343450)_damaging,0.0
0,ASPM (259266)_damaging,0.0
0,PTPRC (5788)_damaging,0.0
0,CAMSAP2 (23271)_damaging,0.0
0,IGFN1 (91156)_damaging,0.0034983845
0,NAV1 (89796)_damaging,0.0
0,KDM5B (10765)_damaging,0.0
0,ATP2B4 (493)_damaging,0.0
0,PLEKHA6 (22874)_damaging,0.0
0,PIK3C2B (5287)_damaging,0.0
0,NFASC (23114)_damaging,0.0
0,CR2 (1380)_damaging,0.0
0,CR1 (1378)_damaging,0.0
0,PLXNA2 (5362)_damaging,0.0
0,PROX1 (5629)_damaging,0.0
0,PTPN14 (5784)_damaging,0.0
0,CENPF (1063)_damaging,0.0026231857
0,USH2A (7399)_damaging,0.0022803922
0,DNAH14 (127602)_damaging,0.0
0,CDC42BPA (8476)_damaging,0.0
0,OBSCN (84033)_damaging,0.00061696925
0,H3-4 (8290)_damaging,0.0
0,PCNX2 (80003)_damaging,0.0
0,MAP3K21 (84451)_damaging,0.0
0,ARID4B (51742)_damaging,0.0
0,LYST (1130)_damaging,0.0
0,RYR2 (6262)_damaging,0.0024806196
0,CHRM3 (1131)_damaging,0.00375498
0,FMN2 (56776)_damaging,0.0010572021
0,WDR64 (128025)_damaging,0.0
0,SDCCAG8 (10806)_damaging,0.0
0,KIF26B (55083)_damaging,0.0
0,AHCTF1 (25909)_damaging,0.0
0,NLRP3 (114548)_damaging,0.0
0,LARP4B (23185)_damaging,0.0
0,TASOR2 (54906)_damaging,0.0
0,TAF3 (83860)_damaging,0.002040441
0,FRMD4A (55691)_damaging,0.0
0,ITGA8 (8516)_damaging,0.0
0,CUBN (8029)_damaging,0.0
0,MRC1 (4360)_damaging,0.0
0,MALRD1 (340895)_damaging,0.002010526
0,GPR158 (57512)_damaging,0.0
0,MYO3A (53904)_damaging,0.0
0,ANKRD26 (22852)_damaging,0.0
0,ODAD2 (55130)_damaging,0.0
0,SVIL (6840)_damaging,0.0
0,KIF5B (3799)_damaging,0.0
0,PARD3 (56288)_damaging,0.0
0,ANKRD30A (91074)_damaging,0.0
0,RSU1P2 (100133308)_damaging,0.0
0,WDFY4 (57705)_damaging,0.0
0,C10orf71 (118461)_damaging,0.0
0,PCDH15 (65217)_damaging,0.002819649
0,ANK3 (288)_damaging,0.0
0,ARID5B (84159)_damaging,0.0019676574
0,EGR2 (1959)_damaging,0.0
0,JMJD1C (221037)_damaging,0.0005308475
0,CTNNA3 (29119)_damaging,0.0
0,MYPN (84665)_damaging,0.0
0,CDH23 (64072)_damaging,0.0
0,ZMIZ1 (57178)_damaging,0.0
0,NRG3 (10718)_damaging,0.0015967084
0,WAPL (23063)_damaging,0.0
0,PTEN (5728)_damaging,0.0012640323
0,STAMBPL1 (57559)_damaging,0.0
